Page ID,Page name,Disclaimer,Amount spent (VND)
109667435240948,,These ads ran without a disclaimer,17091
109850575214128,Trang Sức Khỏe,These ads ran without a disclaimer,8614
107549978768704,Chiến thần Review,These ads ran without a disclaimer,7137
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,5302
280124715749325,Sự Thật Về Pháp Luân Công,Sự Thật Về Pháp Luân Công,2482
111831663772285,BOMvn,BOMvn,2217
105578337737358,Lulu Occi,These ads ran without a disclaimer,1962
654095561592004,VyVy,These ads ran without a disclaimer,511
106233804094035,Điện lực Việt Nam,These ads ran without a disclaimer,509
919479674872321,Báo Nghệ An,Báo Nghệ An,330
105845511087981,TRUYỀN HÌNH AN VIÊN,These ads ran without a disclaimer,≤100
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100
