Page ID,Page name,Disclaimer,Amount spent (XCD)
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),124
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),120
486723854867439,MYUPP,United Progressive Party,≤100
220849685513413,Antigua Breaking News,Antigua Breaking News,≤100
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
203239449860143,Harold Lovell,United Progressive Party,≤100
128330884625097,Johnathan Joseph,United Progressive Party,≤100
109407040848704,Sean Bird,United Progressive Party,≤100
102389305793337,Anthony Stuart,Democratic National Alliance,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
111347180673351,Anthony Smith Jr.,Anthony Smith,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
44846920403,Dean,Athill Dean Jonas,≤100
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100
