Page ID,Page name,Disclaimer,Amount spent (PHP)
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",1337
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,757
1566478310240623,Francis Tolentino,Francis Tolentino PH,544
109322002065194,EKIS,EKIS,516
547821942058909,Pilipinas Today,WFPH,466
75665129515,Go Negosyo,Go Negosyo,424
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,320
101009635619821,Istorya Ta,Hook Digital,316
269175894020945,Pilipinas Today,WFPH,290
1571061213111533,GlobeICON,Globe Telecom,274
100170811672425,Pilipinas Today Kyusi,WFPH,250
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,248
495629064258114,Lolita Karen Javier,Amor U. Nacional,209
110529111699411,PhilNews24,Polsure IT Services,186
186667502068528,Larry De Costa,WFPH,185
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,184
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,173
307380403398913,Magsasaka Partylist,Magsasaka Partylist,158
2271543113085523,Pilipinas Today AM,WFPH,143
115769773456162,Political Circus of the Philippines,PBJ Mediaworks,141
107768512296982,Century Tuna Saving Our Seas,Jessa Charvie Gomez Ganongan,136
1922749344643532,The World Tonight,The World Tonight,111
105537992506657,Mayor Esmie Pineda,Mayor Esmie Pineda,≤100
705660422953865,About Metro Pacific,WFPH,≤100
110190618664751,Gov. Christian Noveras,Gov. Christian Noveras,≤100
104123408073601,"Nikki Prieto-Teodoro, Philippine Special Envoy to Unicef",Maria Lourdes Acosta Gammad,≤100
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,≤100
156752721080952,Sonny Angara,Sonny Angara,≤100
100667769054642,Buildbetterph Supporters,Clutchmedia PH,≤100
324393636342,Ernix Dionisio,Ernesto Mijares Dionisio Jr.,≤100
102886345339673,Ben Patron,Ben Patron,≤100
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,≤100
107701168822758,Aksyon TV,Aksyon TV,≤100
210897252268891,Women's Global Network for Reproductive Rights (WGNRR),Women's Global Network for Reproductive Rights (WGNRR),≤100
339388553513534,Basta Batas,BiG SOUND fm,≤100
103401515144127,Atty. Migs Nograles,Atty. Migs Nograles,≤100
