Page ID,Page name,Disclaimer,Amount spent (KES)
111999833837596,Hon Ali Menza Mbogo,Ali Menza Mbogo,293
112465897227532,Solomon Kuria,Cornelius Murimi Muriithi,217
100835685957727,PRO PEACE KENYA,Trance Marketing Hub Ltd,111
412238482219683,Kambaland,Kambaland,≤100
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,≤100
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,≤100
113294518417695,Kithure Kindiki Fans,These ads ran without a disclaimer,≤100
114281684885161,Binti Saida Chesang Musa,These ads ran without a disclaimer,≤100
105833652399018,Maina Karobia,Mwangi Godfrey Maina,≤100
117220684614630,Safe Haven Foundation,These ads ran without a disclaimer,≤100
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100
