Page ID,Page name,Disclaimer,Amount spent (UYU)
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,116
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,108
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
131056630276715,Sociedad Uruguaya - Diario Digital,Sociedad Uruguaya - Diario Digital,≤100
1359136157453700,Bere Ramos,These ads ran without a disclaimer,≤100
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,≤100
2316138265096150,Marcelo.escritos,These ads ran without a disclaimer,≤100
