Page ID,Page name,Disclaimer,Amount spent (TND)
100457979591531,Moncef Bouzazi - منصف بوزازي,منصف بوزازي,141
141662475911566,Instance Supérieure Indépendante pour les Élections - ISIE,Instance Supérieure Indépendante pour les Élections - ISIE,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
472130523587683,Dhafer Sghiri - ظافر الصغيري,Dhafer Sghiri - ظافر الصغيري,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100
842382659210666,Anis Mejri Hollywood,These ads ran without a disclaimer,≤100
1798900147035859,What The FAKE,These ads ran without a disclaimer,≤100
