Page ID,Page name,Disclaimer,Amount spent (SAR)
108032181861181,SUNO TV,These ads ran without a disclaimer,≤100
109833285292932,tabah_sa,These ads ran without a disclaimer,≤100
108378718772706,Naqil Logistic Service,These ads ran without a disclaimer,≤100
968643809909024,Mubariz Mansimov,These ads ran without a disclaimer,≤100
866153827088050,Bankawy - بنكاوى,These ads ran without a disclaimer,≤100
482525658494607,سعودي اوتو,These ads ran without a disclaimer,≤100
108129608011565,Singapore Nanjing Eco Hi-tech Island,These ads ran without a disclaimer,≤100
104346739218645,hamra__aldrooa,These ads ran without a disclaimer,≤100
344201352331227,Women against oppression - Liberation through Islam,These ads ran without a disclaimer,≤100
643647332320553,Orient - أورينت,These ads ran without a disclaimer,≤100
151409322217001,Berlin School of Business & Innovation - BSBI,These ads ran without a disclaimer,≤100
