Page ID,Page name,Disclaimer,Amount spent (SAR)
104240859036097,Germany Express,These ads ran without a disclaimer,≤100
108536448817351,القاهرة للسيارات الكورية-Cairo for Korean Auto,These ads ran without a disclaimer,≤100
100884009485439,American Global Consulting - Education,These ads ran without a disclaimer,≤100
109813405503668,Rifat,These ads ran without a disclaimer,≤100
1377780379216496,د/باسم مرشد   جراحات الجفون و تجميل العيون,These ads ran without a disclaimer,≤100
135156639833927,United Nations OCHA,These ads ran without a disclaimer,≤100
103929791073860,Inside Telecom,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
104639059126137,Ludo Chatix,These ads ran without a disclaimer,≤100
108271242164727,مجلة المجتمع,These ads ran without a disclaimer,≤100
