Page ID,Page name,Disclaimer,Amount spent (PHP)
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,2756
108275365284886,Doc Tony Golez,Para Sa Bayan,606
128057147245421,San Mig Light,San Mig Light,519
100406438859954,Fight Illicit Trade,Fight Illicit Trade,414
74186694880,Uratex Philippines,These ads ran without a disclaimer,392
325780477966356,Geo 24/7,Energy Development Corporation,233
107768512296982,Century Tuna Saving Our Seas,These ads ran without a disclaimer,222
495629064258114,Lolita Karen Javier,Amor U. Nacional,203
1566478310240623,Francis Tolentino,Francis Tolentino PH,187
220125414691980,Philusa Corporation,Philusa Corporation,122
378813345524368,Haier,Haier,119
115419768085260,Lokal,Lokal,117
701517253228758,DOSTv,DOSTv,116
166107624078770,Camanava News,CAMANAVA News,109
113238417024056,Anna Mae Yu Lamentillo,Anna Mae Yu Lamentillo,≤100
339388553513534,Basta Batas,BiG SOUND fm,≤100
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,≤100
547821942058909,Pilipinas Today,WFPH,≤100
186667502068528,Larry De Costa,WFPH,≤100
1647474828693396,Bong Go,Bong Go,≤100
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,≤100
388689438381348,Mike Defensor,These ads ran without a disclaimer,≤100
868774573241656,IVO Philippines,These ads ran without a disclaimer,≤100
134752476678442,Philippine Star,These ads ran without a disclaimer,≤100
112952897079549,Energy Development Corporation,Energy Development Corporation,≤100
107853288892129,Don Artes,RAM,≤100
223618785182273,Pilipinas,WFPH,≤100
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,≤100
103401515144127,Atty. Migs Nograles,Atty. Migs Nograles,≤100
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,≤100
428054697234720,Institute for Climate and Sustainable Cities,Institute for Climate and Sustainable Cities,≤100
107701168822758,Aksyon TV,Aksyon Demokratiko,≤100
1834423440210624,"Bantay Konsyumer, Kalsada, Kuryente","Bantay Konsyumer, Kalsada, Kuryente",≤100
107677411516687,GIBO Teodoro PH,Gibo Teodoro Supporters,≤100
386570178125149,Senator Win Gatchalian,Senator Win Gatchalian,≤100
