Page ID,Page name,Disclaimer,Amount spent (AED)
1175283209338350,Zayed The Inspirer,Zayed The Inspirer,≤100
105833950949243,Elegance  Real State,These ads ran without a disclaimer,≤100
1429942950553593,Adipec Official,These ads ran without a disclaimer,≤100
205833949590583,Sharjah Ladies Club,These ads ran without a disclaimer,≤100
193631434303282,Al Tayer Motors,Al Tayer Motors,≤100
148788988477345,The National,These ads ran without a disclaimer,≤100
106300044461112,Ente Canada,These ads ran without a disclaimer,≤100
132819526758532,Siemens Healthineers,These ads ran without a disclaimer,≤100
1776955789194489,Victoria Realtors,These ads ran without a disclaimer,≤100
100886642869705,Gulf Nеws,These ads ran without a disclaimer,≤100
