Page ID,Page name,Disclaimer,Amount spent (BRL)
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,152
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,113
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
301774903545521,Brasil Paralelo,Brasil Paralelo,≤100
333720355130,Petrobras,Petrobras,≤100
188597774500120,Prefeitura de João Pessoa,Prefeitura Municipal de João Pessoa,≤100
1500606083580137,João Azevêdo,João Azevedo,≤100
165175370206522,Citi Brasil,Citi Brasil,≤100
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
110418455214538,Bernardo K.,Filhos do Trovão,≤100
100950691594781,Guga,Carlos Gustavo Gomes De Oliveira,≤100
109354687306376,Instituto Conhecimento Liberta,Instituto Conhecimento Liberta,≤100
197587446941661,Valor Econômico,Editora Globo,≤100
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
101189854802059,Revista Oeste,Revista Oeste,≤100
107589328880817,Brasil no Foco,Francine De Almeida Viana Pereira,≤100
330379553673497,Oxfam Brasil,Oxfam Brasil,≤100
389743524537330,Dr. Jarques,Jarques Da Silva Ii,≤100
275967186375809,xpnc.live,XPNC,≤100
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,≤100
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,≤100
142675389152460,Governo do Estado da Paraíba,SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL - SECOM,≤100
104353279216747,jornalista_cacaramalho,These ads ran without a disclaimer,≤100
103654108205888,Fonasefe,CAJUINA PRODUÇÕES E MÍDIA DIGITAL,≤100
110130805137999,Robô Reacionário,Alétheia Brasil,≤100
7970426802,WWF-Brasil,WWF-Brasil,≤100
110225312350543,Nova Escola,Associação Nova Escola,≤100
113165042099382,Brasil 61,Brasil 61,≤100
112021296931600,Mônica Lopes,IBPOM,≤100
187869627968575,Roberto Tripoli,Roberto Tripoli,≤100
132804480113814,PwC Brasil,Pedro Martins,≤100
132804480113814,PwC Brasil,PwC Brasil,≤100
102185548694651,Essencial é a Vida,APUB,≤100
239977579362882,Blue3,Blue3 Investimentos,≤100
104961755568865,Josué Marques,These ads ran without a disclaimer,≤100
258088921369,TOTVS,TOTVS,≤100
128802790469337,Todos Pela Educação,Todos Pela Educação,≤100
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,≤100
118678938210868,SIMPI,Simpi São Paulo,≤100
2323904661180742,All Out Brasil,All Out,≤100
105520569004820,Absolar Comunica,Associação Brasileira de Energia Solar Fotovoltaica,≤100
224777780881144,Visão Mundial,Visão Mundial,≤100
109785372399873,IAB - Instituto dos Advogados Brasileiros,Instituto dos Advogados Brasileiros,≤100
107751545537146,Meu Melhor Mandato,Emerson Jose Pereira Saraiva,≤100
228301373863551,Agência Pública,Agência Pública,≤100
102529622485463,Limpa Restrições,These ads ran without a disclaimer,≤100
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,≤100
105928277775208,FRED Studio Produtora De Jingles,Frede Santos,≤100
103483818151512,Janaina Castro,Sobrenome Janaina Silva De Castro,≤100
103222252564490,Método de Aprovação,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
127789930632668,Conectas Direitos Humanos,Conectas Direitos Humanos,≤100
104827392475350,Célia Almeida,Celia Bibiana De Almeida,≤100
196791070788913,Robson Zanetti Advogado,Robson Zanetti,≤100
2109548659331951,Cursinho da Glória,Cursinho da Glória Eireli ME,≤100
109055221354055,Esfera Brasil,ESFERA ᴮᴿ,≤100
291969064306588,Método de Aprovação,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
665498620499336,"O Novo Legislativo, por Renata Cunha",Instituto Renata Cunha,≤100
1793728344185958,Gaia Mais,These ads ran without a disclaimer,≤100
104738421003389,InvestNews BR,Easynvest,≤100
1746222495610114,Prof. Karine Waldrich,Karine Waldrich,≤100
107094855482314,João Geraldes,Joao Victor Barros Geraldes,≤100
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,≤100
100182705963579,José Sousa,Jose Silva,≤100
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,≤100
107063348442736,Cultura Jurídica,FMR - CURSOS ONLINE LTDA,≤100
239624862864871,Relatório Reservado,Hush Comunicação,≤100
546638152036818,Ulysses Gomes,ULYSSES GOMES DE OLIVEIRA NETO,≤100
106623079444681,INLEGIS,INLEGIS,≤100
1024840290996769,Lucas Pimenta,Lucas Pimenta,≤100
319356418132318,Gestos,Gestos Soropositividade Comunicação e Gênero,≤100
109597815616,VEJA,Revista Veja,≤100
258695297638169,Instituto Lumiarte,Instituto Lumiarte,≤100
105933125105087,Aqui Pela Saúde Dela,Organon,≤100
101328235485196,Reforma Administrativa: destrói os serviços públicos,Reforma que destrói,≤100
1632845003624410,Lúcio Sorge,Lucio Sorge,≤100
107318201742773,Gerador de Votos,Carlos Bomfim,≤100
101377912820413,Seminário Reboot,Agência Nuvem,≤100
359871157981726,Decorando a Lei Seca,Decorando a Lei Seca,≤100
458245938056642,LIMPA MEU NOME,Andre Serra,≤100
111006700550820,Cenarium Amazônia,CENARIUM AGENCIA DE NOTICIAS EIRELI,≤100
150698751651835,Baptista Luz Advogados,Baptista Luz Advogados,≤100
108555800869440,Sleeping Giants Brasil,Sleeping Giants Brasil,≤100
844549288949778,IBPAD - Instituto Brasileiro de Pesquisa e Análise de Dados,IBPAD - INSTITUTO BRASILEIRO DE PESQUISA E ANALISE DE DADOS LTDA - ME,≤100
446733592386057,Mais Inclusão no Mundo,Mais Inclusão no Mundo,≤100
1000129460136641,Prof. Pontalti,Mateus Benato Pontalti,≤100
103779715064518,Uma Concertação pela Amazônia,Instituto Arapyaú de Educação e Desenvolvimento Sustentável,≤100
1463458067229810,Zenaide Senadora,Zenaide Maia Calado Pereira Dos Santos,≤100
139007399495933,Fundação SOS Mata Atlântica,FUNDACAO S.O.S. PRO-MATA ATLANTICA,≤100
101515026158891,eduardovarandas,These ads ran without a disclaimer,≤100
489012484462741,Abrasel,Abrasel,≤100
111046155196359,D Maria Schiavelli Caetano,Dione De Oliveira,≤100
147258388715323,Fundação Luterana de Diaconia (FLD),Fundação Luterana de Diaconia,≤100
213048568820524,Vereador Paulo Frange,Rodrigo Carvalho,≤100
101933305564897,Promic,Riole,≤100
952849801440316,Sergio Vidigal,Antônio Sergio Alves Vidigal,≤100
527350550632838,COSEMS RS,These ads ran without a disclaimer,≤100
149518311835447,Renata Bueno,Renata Bueno,≤100
1748022592106701,Vereador Marcio Bosa,Marcio Bosa,≤100
1990589534564935,CMP Brasil,CMP Central de Movimentos Populares,≤100
103768438180017,Lab Criação,Lab Criação,≤100
1431719646851969,Abel Lumer,Abel Lumer,≤100
166288866733886,Pirelli,Pirelli Comercial,≤100
1490922331155430,Unicursos Curitiba,UNICURSOS CAPACITAÇAO E TREINAMENTOS LTDA,≤100
102779118756442,Eduardo Franklin,Eduardo Henrique De Carvalho Franklin,≤100
271292143368224,Parola comunicação,Parola Comunicação,≤100
300677120009939,Participação Popular,These ads ran without a disclaimer,≤100
1504580766531518,Mulheres Progressistas,PROGRESSISTAS - BRASIL - BR - NACIONAL,≤100
69488070826,Fundação Abrinq,Fundação Abrinq,≤100
760723213973971,Mapa Educação,Mapa Educação,≤100
317678402079226,Lielson Pontes,These ads ran without a disclaimer,≤100
475113842596525,Museu do Amanhã,Museu do Amanhã,≤100
1700227383437806,OC Advogados,Oliveira e Carneiro Sociedade de Advogados,≤100
329539677059087,Zap Comunicação,Charles Rodrigues,≤100
593156624451277,Serginho Caxias,Sergio Alberto Correa Da Rocha,≤100
201878973201295,Republicanos10,Republicanos10,≤100
282802611759257,MidiaJur - Jornalismo Plural,Midiajur,≤100
163893463708223,Marcelo Vitorino,IDP,≤100
269116656508331,Faaftech Soluções Inteligentes,These ads ran without a disclaimer,≤100
102551538798020,Historiadelas,Historiadelas,≤100
101139232112556,tanawykariri,These ads ran without a disclaimer,≤100
101321981647613,Instituto Montese,Instituto Montese,≤100
