Page ID,Page name,Disclaimer,Amount spent (PLN)
102931488739,Platforma Obywatelska,Platforma Obywatelska,1185
237466786344157,European Movement,European Movement International with Facebook ad credits,423
122074554119,EU Social,EU Social,415
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,226
741818202517114,Anna Paluch,Anna Paluch,191
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,172
2082007105406716,Grzegorz Małodobry Radny Powiatu Krakowskiego,Grzegorz Małodobry Radny Powiatu Krakowskiego,160
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Komarewicz,139
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,121
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,112
339855706171439,Dobra Fabryka,Dobra Fabryka,109
1221619051205439,Tomasz Daros - Radny Miasta Krakowa,Tomasz Daros - Radny Miasta Krakowa,105
228168274881,wysokieobcasy,wysokieobcasy,102
178362315106,European Parliament,European Parliament,101
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,101
199446073725474,BohaterON,Fundacja Sensoria,≤100
737382823002282,Anna Pieczarka,Anna Pieczarka,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,≤100
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,≤100
1227194230675141,Pratia,Pratia SA,≤100
930523510360271,Dominik Jaśkowiec Radny Krakowa,Dominik Jaśkowiec Radny Krakowa,≤100
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,≤100
102087510135950,Bogdan Klich,Biuro Senatorskie Bogdan Klich,≤100
107099115544539,Zostań Dłużej,Euvic Media,≤100
1100158536843507,Andrzej Gut-Mostowy,Biuro Poselskie Andrzeja Guta-Mostowego,≤100
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,≤100
