Page ID,Page name,Disclaimer,Amount spent (VEF)
112334968492772,cambiovuelve,These ads ran without a disclaimer,2500000
109025078823938,cambiovuelve,These ads ran without a disclaimer,2250000
101084619090775,Gonzalez10ana,an advertiser in Venezuela,750000
101304192456744,carososky,These ads ran without a disclaimer,86505
117128387942371,Mar Rengifo,These ads ran without a disclaimer,3600
183818095119937,Aire Nuestro,These ads ran without a disclaimer,≤100
17973644177,Global Peace Foundation,These ads ran without a disclaimer,≤100
82928774489,Panda Security,These ads ran without a disclaimer,≤100
108807998337182,Hospital Felino Madrid,These ads ran without a disclaimer,≤100
373096991909,AIDA,These ads ran without a disclaimer,≤100
108843652138662,hazrathariz,These ads ran without a disclaimer,≤100
104444237650160,برنامج مع الرئيس,These ads ran without a disclaimer,≤100
109234018766722,Arkad-03,These ads ran without a disclaimer,≤100
115652281405063,mentalhealthwithkiara,These ads ran without a disclaimer,≤100
101233621344807,adrianaleota8law,These ads ran without a disclaimer,≤100
107978317476310,Jmpapeleria.ve,These ads ran without a disclaimer,≤100
103992288141312,WingFoil Racing,These ads ran without a disclaimer,≤100
