Page ID,Page name,Disclaimer,Amount spent (VND)
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,1507
111831663772285,BOMvn,BOMvn,1139
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,844
111007318289967,Đầu Tư Cùng Chuyên Gia 5.0,These ads ran without a disclaimer,296
1872924099391551,Ohayo Japan,These ads ran without a disclaimer,175
919479674872321,Báo Nghệ An,Báo Nghệ An,163
100492169484970,Havaness fashion,These ads ran without a disclaimer,129
1899173210408515,Crabit Kidbooks,These ads ran without a disclaimer,≤100
230701157132047,Gamuda,These ads ran without a disclaimer,≤100
155460521146066,RFI Tiếng Việt,These ads ran without a disclaimer,≤100
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100
106182191965167,Sách Cổ - Tri Thức Thời Xưa,These ads ran without a disclaimer,≤100
