Page ID,Page name,Disclaimer,Amount spent (AED)
118465521533899,Mubadala,These ads ran without a disclaimer,837
102217772802527,Bay Area Times,These ads ran without a disclaimer,≤100
102561819312452,ajman_real_estate_property,These ads ran without a disclaimer,≤100
102103522710373,SarDar SoHail KaBir,These ads ran without a disclaimer,≤100
110177867131162,Ajman Houses,These ads ran without a disclaimer,≤100
115030751660679,l.i.v95,These ads ran without a disclaimer,≤100
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100
108358018992245,shemeperfumes,These ads ran without a disclaimer,≤100
100196618962078,Madame Tussauds Dubai,These ads ran without a disclaimer,≤100
102826335811233,Isadora Pedrini,These ads ran without a disclaimer,≤100
175590267993,Al Majalla,These ads ran without a disclaimer,≤100
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100
450326391674911,Allianz,These ads ran without a disclaimer,≤100
