Page ID,Page name,Disclaimer,Amount spent (CRC)
643513979193133,Unidos por Beatriz,Neuma,1265
100659342913338,Cambiemos La Regla,These ads ran without a disclaimer,592
117476041631671,AmCham Costa Rica,AmCham Costa Rica,592
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,592
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,471
101434362823135,rolandoprusak,These ads ran without a disclaimer,≤100
265843867173714,La Revista,La Revista,≤100
1358396247570713,Greentech • Educación Ambiental - Hispanoamérica,These ads ran without a disclaimer,≤100
131347596900240,Servindi,These ads ran without a disclaimer,≤100
117476041631671,AmCham Costa Rica,These ads ran without a disclaimer,≤100
