Page ID,Page name,Disclaimer,Amount spent (INR)
10150110302115599,Genesis Foundation,Genesis Foundation,191
444275075662411,Dalu Ram Chahar,Dalu Ram Chahar,187
544920495569144,CP Joshi,CP Joshi,187
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,182
1783001841927248,Nutan Odisha,Cloud & Loud Communications,181
1649132928749969,Yashpal singh shaktawat,Lekhraj Kumawat,177
1802523420012948,Pratap Singh Khachariyawas,Anirudh Sharma,175
100941092921616,Ashok Kularia,Rahul,174
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,173
112475780481777,Bahadur Singh Chouhan,Manoj,173
106828968996853,Ashish Kishnaram Nai,Suraj Kaul,172
106443634033239,Asrar Qureshi,Pawan Kumar Sharma,170
385303288239154,Raghuveer Singh Tanwar,Raghuveer Singh Tanwar,169
263560423714979,Dr. Mahesh Sharma,Subham Singh,169
100735178208398,Udyami India,Samadhan Samiti,169
644400709346753,Adv.Uma Shanker Sharma,Adv.Uma Shanker Sharma,159
1433894153522813,Pramod Bhaya,Sharad Sharma,159
444000972398140,Dr. Ajay Dharam Singh,Ramkishan Singh Maninder Singh,157
1966254296805216,Tika Ram Jully,Tika Ram Jully,157
105234459127980,Women Climate Collective,Women Climate Collective,157
1510589492520911,Ramesh Singh Meghwal,Ramesh Singh,149
667560657014524,Mahendra Singh Solanki,Nitesh Tiwari,147
385710905411013,Tirupati Media House,Suraj Kaul,147
339835596096353,Satish Poonia,Choudhary Ramesh Chaudhary,145
103609511145569,Jet digital brand management,Varun Shivpuriya,145
827495487267419,Amin Pathan,Amin Pathan,143
256050398281355,MD Chopdar,WEBTIX,142
111916021541975,Balarama Krishna Battula,Balarama Krishna Battula,136
107395897271506,Kutumb,Kutumb App,136
621233144968216,Amit Dhariwal,Amit Dhariwal,135
30290552843,Greenpeace India,Greenpeace India Society,134
612242939232599,Poliarc Media,Vijender Singh,132
994578073995343,B. L. Verma,Sourabh Arvind Dubey,132
210251616112761,India Development Review,India Development Review,131
367203836657399,Rajendra Singh Surpura,Prakash Jaiswal,130
109066315147120,News Temple,Jainendra Agrawal,121
361031561139301,Rakesh Jangir,Rajesh Kumar,121
100178612957660,Madan Pandit,Akash Singh,120
437828706311870,Shyam Singh Rajawat,Balram Singh,118
474751009223949,Jaipur Literature Festival,Teamwork Arts Private Limited,118
100135679641746,Global Hindi Tv,Navdeep Singh,116
295639383836442,Agewell Foundation,Aanchal Gupta,116
1954072204870360,NEWJ,Anant Bhardwaj,116
104649982533904,खबरें बारां की,Rupali Sharma,112
1119840971440583,Sunil Bishnoi,Engitech Media,108
1706371292942156,"Ministry of Development of North Eastern Region, Government of India",Sourabh Arvind Dubey,106
283366758968671,Kumbh Singh Patawat,Engitech Media,105
414181298705433,Dr. Brij Mohan Saharan,Jaswinder Singh,105
100328978216424,"Fight Pollution, Not Plastics",Nitesh Singh,102
114331084875398,Arjun Passi,Aksh Bhargava,101
1088373891289696,Kamal yadav,Akash Singh,101
102710804961947,Patanjali Nutrela Products,Saura Bh Sin Gh,101
216506801885954,Pankaj Chaudhary,Yash Bagh,101
1718123505168458,K.K. Vishnoi,Pramender Kumar,≤100
708844685796745,OP Choudhary,OP Choudhary,≤100
116383754696955,Antardhwani - The Inner Voice,Antardhwani,≤100
189726528181644,Shrawan Singh Rathore,Tanuj Singh,≤100
160413147369785,Visnu jaiswal,Priyadarshan Singh,≤100
369063569936141,Lung Care Foundation,Lung Care Foundation,≤100
107378771853942,Vedram Manhare,The VoloPV,≤100
957288567703945,Dr. Rohitash Sharma,Naren Kumar Sharma,≤100
1806741026226045,Ramawatar Bijarnia,Narendra Singh Pachar,≤100
639628649547122,Atmaram Tarar,Dogma Soft Limited,≤100
103673315495075,Shakeel Khan Kaman,Mohd Shakeel Khan,≤100
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Ganesh Subhashrao Lomte,≤100
106398088450403,Tejal Graphics,Pukhraj Choudhary,≤100
174948422918011,Harshvardhan Shaktawat,Narendra Singh Pachar,≤100
224618077692752,Sanjay Tandon,Saraansh Tandon,≤100
321228061382932,Pt. Shekhar Dixit,Websofy Software Private Limited,≤100
