Page ID,Page name,Disclaimer,Amount spent (UYU)
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,116
668626516485308,Enred Frenteamplista - Enred Socialista,These ads ran without a disclaimer,116
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,≤100
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
383445061841675,Casa Grande FA,Casa Grande,≤100
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100
489179047956298,Allwork.Space,These ads ran without a disclaimer,≤100
