Page ID,Page name,Disclaimer,Amount spent (AED)
102561819312452,ajman_real_estate_property,These ads ran without a disclaimer,≤100
1382479471843640,شبكة رؤية الإمارات الإعلامية,These ads ran without a disclaimer,≤100
116446154839404,Abaj Kejayaan kami,These ads ran without a disclaimer,≤100
103016680138,SA Tourism Update Online,These ads ran without a disclaimer,≤100
221999961329074,TuxCare,These ads ran without a disclaimer,≤100
1399750283620746,Hidden City,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
702279983471744,Olympic Council of Asia,These ads ran without a disclaimer,≤100
102537783146375,28. Jun,These ads ran without a disclaimer,≤100
107998255056825,awat.ibrahim2,These ads ran without a disclaimer,≤100
