Page ID,Page name,Disclaimer,Amount spent (AUD)
704470226349883,Liza Butler Labor for South Coast,NSW Labor,≤100
102735262506370,Amanda Findley for South Coast,The Greens NSW,≤100
112616948322135,Luke Sikora - Liberal Candidate for South Coast,"Liberal Party of Australia, NSW Division",≤100
129209787133659,NSW Nurses and Midwives' Association,NSW Nurses and Midwives' Association,≤100
119246428679,NSW Labor,NSW Labor,≤100
156271657717715,Nature NSW,Nature Conservation Council of NSW,≤100
24495551981,The Greens NSW,The Greens NSW,≤100
682268945137255,Chris Minns,Chris Minns MP,≤100
44701328033,NSW Liberal Party,"Liberal Party of Australia, NSW Division",≤100
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,≤100
532962446729390,Australian Families,Department of Social Services,≤100
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,≤100
12173141558,Amanda Rishworth MP,Amanda Rishworth MP,≤100
76212817063,CARE Australia,CARE Australia,≤100
1407148622837316,Empowered Communities,Empowered Communities,≤100
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,≤100
2080670615483977,Verve Super,Verve Super,≤100
101589645013040,Thrive by Five,Thrive By Five,≤100
172094012830551,Australian Paralympic Team,Paralympics Australia,≤100
92824008332,Plan International Australia,Plan International Australia,≤100
177072498997234,NSW Electoral Commission,NSW Electoral Commission,≤100
105348385388237,Senator Babet,Ralph E D Babet,≤100
157481181070130,Indigenous Employment Australia,Access,≤100
291815407598654,Victorian Aboriginal Child Care Agency - VACCA,VACCA - Victorian Aboriginal Child Care Agency,≤100
207984645959183,Shooters Fishers and Farmers Party,Shooters Fishers and Farmers Party,≤100
