Page ID,Page name,Disclaimer,Amount spent (VND)
100208679490531,Công Nghệ CacBon Than Hoạt Tính - Triệt Lông&Râu Vĩnh Viễn,These ads ran without a disclaimer,144600
100851202757924,CacBon Triệt Lông & Râu Vĩnh Viễn - Có Bảo Hành,These ads ran without a disclaimer,60137
101287722902486,Tủ Sách Vàng cùng con khôn lớn,These ads ran without a disclaimer,2487
111525146929929,HỌC SINH CẤP 3,These ads ran without a disclaimer,1586
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,1437
104640271243082,Bách Hóa Ăn Dặm,Bách Hóa Ăn Dặm,1146
1813090249021573,Nguyễn Trọng Quỳnh,These ads ran without a disclaimer,752
102506914494641,Richard Royal Tea UK,These ads ran without a disclaimer,≤100
256096381430228,DreamWorks Asia Pacific,These ads ran without a disclaimer,≤100
134065326647714,JW Success,These ads ran without a disclaimer,≤100
