Page ID,Page name,Disclaimer,Amount spent (AOA)
719952321492690,UNFPA Angola,UNFPA Angola,1538
105374557808288,Le chinois avec Xu Li,These ads ran without a disclaimer,179
314687429173912,Traveler Door,These ads ran without a disclaimer,≤100
106594772288751,Lin1129-6,These ads ran without a disclaimer,≤100
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100
632228990183262,Chinesische Volkszeitung Online,These ads ran without a disclaimer,≤100
123492901131057,TechCabal,These ads ran without a disclaimer,≤100
266326784277268,Youth4Nature,These ads ran without a disclaimer,≤100
1509413712605916,ICAO - International Civil Aviation Organization,These ads ran without a disclaimer,≤100
587599981600546,Manual Jurídico da Escravidão,These ads ran without a disclaimer,≤100
1587103198245131,Zikoko,These ads ran without a disclaimer,≤100
