Page ID,Page name,Disclaimer,Amount spent (JMD)
1835085710042192,Haifa Group México,These ads ran without a disclaimer,≤100
106371421638847,"Ministry of Infrastructure & Tourism, Anguilla",These ads ran without a disclaimer,≤100
