Page ID,Page name,Disclaimer,Amount spent (VEF)
564188034075673,Roberto Enriquez,an advertiser in Venezuela,2000000
111996834835351,Polianaliticave,an advertiser in Venezuela,250000
112759588312679,cesaralmeida2024,an advertiser in Venezuela,250000
266790296879,Bloomberg,These ads ran without a disclaimer,94049
11449543593,Carlos Ocariz,an advertiser in Venezuela,≤100
109176671963928,arabe_con_jalid,These ads ran without a disclaimer,≤100
304247300393,Juan Pablo Guanipa,an advertiser in Venezuela,≤100
663806527330788,A Simple Vista,These ads ran without a disclaimer,≤100
1786224525008587,Jose Vicente Alcalde,an advertiser in Venezuela,≤100
109076095187370,Youthoppia,These ads ran without a disclaimer,≤100
