Page ID,Page name,Disclaimer,Amount spent (UYU)
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,116
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,≤100
860395507438977,Compromiso con el cambio,Santiago Raffo Arias,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
107574220629167,Carolina Batista,Norma Valentina Pérez Nunez,≤100
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,≤100
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,≤100
227537964299216,Javier Radiccioni,Javier Radiccioni,≤100
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100
