Page ID,Page name,Disclaimer,Amount spent (CRC)
643513979193133,Unidos por Beatriz,Neuma,2082
102084562479533,Digital506,Digital506,597
1066083900227445,VarBar Solutions,These ads ran without a disclaimer,154
2006883116083469,Cristopher Montero Jiménez,Cristopher Montero Jimenez,≤100
265843867173714,La Revista,La Revista,≤100
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100
103758944688614,boarderchik87,These ads ran without a disclaimer,≤100
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,≤100
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,≤100
100508562815254,Juan Diego González Picado,Juan Diego González Picado,≤100
