Page ID,Page name,Disclaimer,Amount spent (KES)
362328664703,Start Talking Kenya,Well Made Strategy,≤100
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,≤100
112754900441156,DR. Kiarie Badilisha,DR. Kiarie Badilisha,≤100
102324481269298,Hon. Zamzam Mohammed,Hon. Zamzam Mohammed,≤100
194141207389467,Booker Ngesa Omole,Communist Party of Kenya,≤100
105833652399018,Maina Karobia,Maina Karobia,≤100
300619863371064,Kenya School of Government,These ads ran without a disclaimer,≤100
107991529017613,H.E. Christine Saru Kilalo,These ads ran without a disclaimer,≤100
102716947903015,MIKE DANSTON EGH.,MIKE DANSTON EGH.,≤100
126948493637136,peterchek3,These ads ran without a disclaimer,≤100
351045519400353,Eng.Felix  K. Kipng'ok,These ads ran without a disclaimer,≤100
312572956192564,Hon. Brighton Leonard Yegon,These ads ran without a disclaimer,≤100
