Page ID,Page name,Disclaimer,Amount spent (BSD)
114606549484,Philip Brave Davis,The Office of The Prime Minister Bahamas,≤100
108785284600576,"J. Kwasi Thompson, MP East Grand Bahama",Kwasi Malik Thompson,≤100
