Page ID,Page name,Disclaimer,Amount spent (CRC)
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,3771
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,2693
102084562479533,Digital506,Digital506,2063
110229697990927,Pablo Sibaja - Diputado,Pablo Sibaja Jiménez,821
100501059693877,Johan Smith Gamboa Precandidato Alcaldía San José PNG,Johan Smith Gamboa Precandidato Alcaldía San José PNG,709
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,705
117476041631671,AmCham Costa Rica,AmCham Costa Rica,539
265843867173714,La Revista,La Revista,383
123191400766960,Incubadora +Cr,+Costa Rica,≤100
479285342097950,AeroTime,These ads ran without a disclaimer,≤100
447828135241448,Mente Poderosa,These ads ran without a disclaimer,≤100
