Page ID,Page name,Disclaimer,Amount spent (VND)
100662756259026,Thanh Vân Hugo,These ads ran without a disclaimer,327290
1026489764036706,Gold Shop,These ads ran without a disclaimer,23317
104640271243082,Bách Hóa Ăn Dặm,Bách Hóa Ăn Dặm,13309
1507429892822619,BOM Money,BOM Money,3235
107713842237310,SÁCH HAY GIÁ RẺ,These ads ran without a disclaimer,2470
103111032473035,Lương Y Phạm Văn Thanh - Xương Khớp Vùng Cao,These ads ran without a disclaimer,1926
101865258169428,ĐEN Secondhand,ĐEN Secondhand,1338
103504685839697,SÁCH TỔNG HỢP,These ads ran without a disclaimer,1035
100190251454228,Bình Bán Book,These ads ran without a disclaimer,319
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,126
669307523469574,EveryJew,These ads ran without a disclaimer,≤100
