Page ID,Page name,Disclaimer,Amount spent (PLN)
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Komarewicz,789
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),246
102931488739,Platforma Obywatelska,Platforma Obywatelska,245
178362315106,European Parliament,European Parliament,215
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,185
737382823002282,Anna Pieczarka,Anna Pieczarka,159
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,145
100758976350452,LubBezpośrednio.PL - Instytut Demokracji Bezpośredniej,"Fundacja ""Potrafisz Polsko""",122
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,112
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,103
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,≤100
102400579013256,Action for Democracy,Action for Democracy,≤100
342536459089859,Beata Kempa,Grupa EKR - Beata Kempa MEP,≤100
146599018696771,NATO,NATO,≤100
109649700417909,Piotr Sak,Poseł na Sejm RP Piotr Sak,≤100
634178786679448,Aleksander Miszalski - Poseł na Sejm RP,Aleksander Miszalski - Poseł na Sejm RP,≤100
1227194230675141,Pratia,Pratia SA,≤100
339855706171439,Dobra Fabryka,Dobra Fabryka,≤100
104581499325617,Wybory bez picu,Obywatelska Kontrola Wyborów,≤100
102811109411234,Do:łącz,Dołącz,≤100
144808095552639,ING Polska,ING Polska,≤100
123910440019,Renew Europe,Renew Europe Group,≤100
57544755889,Amnesty International Polska,Amnesty International Polska,≤100
335107452998,"InPost - Paczkomat, Kurier","InPost - Paczkomat, Kurier",≤100
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro – Prawo do życia,≤100
330948814327976,Patryk Wicher,Patryk Wicher,≤100
103543842796980,Nie Oddamy Miasta,Nie Oddamy Miasta,≤100
178415208919146,Suwerenna Polska,Solidarna Polska,≤100
107280785612581,Krakowskie Centrum Edukacji Klimatycznej,Krakowskie Centrum Edukacji Klimatycznej,≤100
391098174296294,Super Express,se.pl,≤100
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100
1752318511650368,Akamai Poland,More Bananas,≤100
50063176484,TVN24,TVN,≤100
228168274881,wysokieobcasy,wysokieobcasy,≤100
1683534065241470,OKO.press,OKO.press,≤100
930523510360271,Dominik Jaśkowiec Radny Krakowa,Dominik Jaśkowiec Radny Krakowa,≤100
1528030200840040,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu,≤100
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,≤100
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,≤100
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,≤100
