Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,232
108282098658865,Pablo Constenla,José Luis Ambrosoni Secco,161
105100581738184,Lista 400 Salto,José Luis Ambrosoni Secco,130
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100
128050063917913,ISF (International School Sport Federation),These ads ran without a disclaimer,≤100
508154872627194,1001 Rocha,These ads ran without a disclaimer,≤100
