Page ID,Page name,Disclaimer,Amount spent (BBD)
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100
260915342653,Banks Beer,These ads ran without a disclaimer,≤100
140515453215980,DEPUTY,These ads ran without a disclaimer,≤100
