Page ID,Page name,Disclaimer,Amount spent (SEK)
126567104406,Hyresgästföreningen,Hyresgästföreningen,4607
608975645850217,Vattenfall,Vattenfall Sverige,3578
111630258867610,Röda Korset,Röda Korset,1776
369582590803,Dagens ETC,ETC-tidningarna,1707
382243262003,Plan International Sverige,Plan International Sverige,1630
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),1036
114262485262083,Konsumentverket,Konsumentverket,924
95735961890,Greenpeace Sverige,Greenpeace Sverige,788
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,780
109886133732943,RESCUE - Sverige,RESCUE - Sverige,778
153386171353294,LRF Västra Sverige,LRF Västra Sverige,752
162985227114132,Skellefteå Kraft,Skellefteå Kraft,691
72659261793,Rädda Barnen,Rädda Barnen,664
195379633820701,Svenskt Kött,Svenskt Kött,557
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,550
59324455950,UNICEF Sverige,UNICEF Sverige,543
186513678039755,Fortum,Fortum Sverige,469
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,462
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,461
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,453
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",428
112338252157105,Viskadalen,Viskadalen,411
19746853632,Djurens Rätt,Djurens Rätt,402
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,374
42676805259,Diakonia,Diakonia,368
175656912484553,Unionen,Unionen,364
252516142116820,Abir Al-Sahlani,Abir Al-Sahlani,336
643137272398136,Sverige för UNHCR,Sverige för UNHCR,332
506685746198996,DebattNytt,Bror Carl Jakobsson,311
18880778360,ActionAid Sweden,ActionAid Sweden,287
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,271
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,261
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,254
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,249
106579105171694,ETC nyhetsmagasin,ETC Media AB,239
169905029701515,Trollhättans Stad,Trollhättans Stad,233
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,223
102603159402551,Inner Connections,Kulturhuset i Ytterjärna AB,212
179931025357058,Kommunal,Kommunal,210
8040892957,Socialdemokraterna,Socialdemokraterna,195
351522355766,PMU,PMU Interlife,193
314872662206,Ekonomifakta,Ekonomifakta,190
296423575695,Afrikagrupperna,Afrikagrupperna,187
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,181
185459445735,Umeå universitet,Umeå universitet,179
614939535271869,Tobias Baudin,Socialdemokraterna,174
821885161236997,Vänsterpartiet Centrum Göteborg,Vänsterpartiet Centrum Göteborg,160
