Page ID,Page name,Disclaimer,Amount spent (HNL)
703368406666619,Vox Populi HN,Vox Populi HN,≤100
1392592317738074,Jorge Cálix,Jorge Cálix,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
110882925332549,Yani Rosenthal,Yani Benjamin Rosenthal Hidalgo,≤100
103825695591860,Josue Colindres Diputado,Johana Elizabeth Colindres Castellanos,≤100
118154551214432,Ormin Gonzales,These ads ran without a disclaimer,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
318006422243177,ALBA Network,These ads ran without a disclaimer,≤100
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,≤100
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100
