Page ID,Page name,Disclaimer,Amount spent (TND)
100986432813176,الطاهر بن منصور المرشح للانتخابات التشريعية 2022,إيهاب بن منصور,≤100
106092971318778,S I N G L E L I F E,These ads ran without a disclaimer,≤100
