Page ID,Page name,Disclaimer,Amount spent (HNL)
221798457888029,World Vision Honduras,ASOCIACION VISION MUNDIAL HONDURAS,543
1392592317738074,Jorge Cálix,Jorge Cálix,370
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,236
643513979193133,Unidos por Beatriz,Neuma,198
104599735671754,Goberna Honduras,Goberna Honduras,148
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,148
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
115975217754936,Programa de Gestión Comunitaria de Cuencas-nuestra cuenca Goascorán Fase II,These ads ran without a disclaimer,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
386252852217600,Género y Metodologías,These ads ran without a disclaimer,≤100
131857626888341,Aceprensa,These ads ran without a disclaimer,≤100
125335024157691,Promine,These ads ran without a disclaimer,≤100
171596616293058,ROOM diseño,These ads ran without a disclaimer,≤100
846996508759200,Actitud Femenina,These ads ran without a disclaimer,≤100
