Page ID,Page name,Disclaimer,Amount spent (CRC)
118971778191074,Partido Liberación Nacional,Partido Liberación Nacional,3251
117702158266385,Antonio Álvarez Desanti,Antonio Álvarez Desanti,1084
1540070352761579,Leslye Bojorges,Leslye Bojorges,542
123191400766960,Incubadora +Cr,+Costa Rica,491
102084562479533,Digital506,Digital506,295
161538647202796,David Segura - Diputado,David Segura - Diputado,153
265843867173714,La Revista,La Revista,≤100
122125257549513,Entretenimiento Ala Carta,These ads ran without a disclaimer,≤100
170997769978181,Distribuidora Costa Del Sol,These ads ran without a disclaimer,≤100
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100
110415024779810,the_caribbean_zone,These ads ran without a disclaimer,≤100
