Page ID,Page name,Disclaimer,Amount spent (BRL)
301774903545521,Brasil Paralelo,Brasil Paralelo,747
101230328792183,Portal Concursos & OAB,Portal Concursos & OAB,743
314588995218740,Detran Goiás,Detran Goiás,420
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,308
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,271
110285893709805,Sifaeg,Sifaeg,198
105520569004820,Absolar Comunica,Associação Brasileira de Energia Solar Fotovoltaica,185
101189854802059,Revista Oeste,Revista Oeste,179
205314482945213,Prefeitura de Trindade,VERSATILY AMBIENTAL EIRELI,165
1729080530702072,Roberto Naves Prefeito,Roberto Naves Prefeito,157
110418455214538,Bernardo K.,Filhos do Trovão,157
102773638649611,Bruno Pereira,These ads ran without a disclaimer,155
165175370206522,Citi Brasil,Citi Brasil,152
465235726843103,Ambev,Ambev,113
281680372209686,Sabrina Garcez,Sabrina Garcez,103
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,≤100
266360393867344,Dr. Zacharias Calil,Zacarias Calil Hamu,≤100
1467758140118814,Governo de Goiás,Governo de Goiás,≤100
100616882690814,Evandro Pereira Advogados e Associados,Evandro Pereira Advogados e Associados,≤100
2308676322748492,Marcio Carvalho de Sá,These ads ran without a disclaimer,≤100
404585332967669,Prefeitura de Senador Canedo,Versatily Ambiental e Marketing,≤100
686957961352670,Deputado Estadual Cairo Salim,Cairo Salim,≤100
333720355130,Petrobras,Petrobras,≤100
1457380294499102,Alexandre Baldy,Alexandre Baldy,≤100
152338908863109,William Dornela,William Dornela,≤100
128850220504786,UNICEF Brasil,UNICEF Brasil,≤100
250960541687036,Antônio Gomide,Antônio Gomide,≤100
286484764739596,Conselho de Arquitetura e Urbanismo do Brasil - CAU/BR,Triads,≤100
1412065332409674,Veter Martins Morais,Veter Martins Morais,≤100
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,≤100
116725771476468,Eu Eleito,"Gambale Cursos, Produções e Marketing",≤100
104625758942119,Siga Antenado,Siga Antenado,≤100
198849783539777,Buscofem,Buscofem,≤100
116881770160597,Willian Veloso,Willian Veloso,≤100
211334236088748,Welton Lemos,Welton Lemos,≤100
206019209573311,Vanderlan Cardoso,Vanderlan Cardoso,≤100
2136904473052448,Delegada Fernanda,Delegada Fernanda,≤100
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,≤100
507362029667133,Diogo Melo,Diogo Melo,≤100
976295639063920,Professora Andréa Paula,Professora Andréa Paula,≤100
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
591578874607835,Avança Águas Lindas,Avança Águas Lindas,≤100
725125497570997,Igor Franco,Igor Franco,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
449013258505096,Prefeitura de Palmas,Prefeitura de Palmas,≤100
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,≤100
101690451897037,Prefeitura Cocalinho MT,Prefeitura Cocalinho MT,≤100
906027349448732,Delegado Cristiomário,Delegado Cristiomário,≤100
113775455097948,Renovação de Verdade Chapa 2,These ads ran without a disclaimer,≤100
529741837114868,Professor Alcides,Professor Alcides,≤100
102105385178631,Prefeitura de Quirinópolis,Prefeitura de Quirinópolis,≤100
1481798875472193,Paulo Cezar Martins,Paulo Cezar Martins,≤100
280413655431834,AMB - Associação Médica Brasileira,Associação Médica Brasileira,≤100
1608447079411218,Portal Concursos,PORTAL CURSOS PREPARATORIOS E OAB LTDA,≤100
1378594512277232,Professor Alexandre Salim,These ads ran without a disclaimer,≤100
1703010579956133,Eleições 2024 - Cursos Online,Curso Eleitoral,≤100
1330703177004464,Prefeitura de Ituiutaba,Prefeitura Ituiutaba,≤100
113676935411485,Eder Magrão Clube Fm 101.9,eder gean silva,≤100
258088921369,TOTVS,TOTVS,≤100
360148920704249,Sinpro Sindicato Dos Professores,Sindicato dos Professores no DF,≤100
106147539055311,Haroldo Naves,BM2 Comunicação,≤100
112785406858446,dilvoconstantino,These ads ran without a disclaimer,≤100
1788797064722263,Juarez Lopes,Juarez Lopes,≤100
627707933922804,Vereador Eliel José,Vereador Eliel José,≤100
113889610354238,Samuel dos Reis Cotrim,Samuel dos Reis Cotrim,≤100
1527572800822387,Daniel Agrobom,Daniel Agrobom,≤100
130558143745099,Alex Manente,Alex Manente,≤100
110225312350543,Nova Escola,Associação Nova Escola,≤100
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,≤100
1398678103554608,Segati Advogados,Segati Advogados,≤100
103689799446646,Advogado João Paulo,These ads ran without a disclaimer,≤100
171631669624527,Bayer Brasil,Bayer Brasil,≤100
197587446941661,Valor Econômico,Editora Globo,≤100
396626607095420,Magda Mofatto,Magda Mofatto,≤100
258088921369,TOTVS,These ads ran without a disclaimer,≤100
383685571779039,Lucas Calil,Lucas Calil,≤100
104092547730682,Dr. Leonardo Batista,Dr. Leonardo Batista,≤100
1029170513768473,Mosaic Fertilizantes,MOSAIC FERTILIZANTES DO BRASIL LTDA,≤100
330379553673497,Oxfam Brasil,Oxfam Brasil,≤100
102911342846596,Gestão Comunica,Gestão Comunica,≤100
640368749377867,Gleison Flavio,Gleison Flávio,≤100
115230991849922,O Globo,Editora Globo,≤100
132584057957,Skol,Ambev,≤100
282321675444717,Cláudio Lima,Cláudio Lima,≤100
101508656267366,Preparatório ENcurso,Preparatório ENcurso,≤100
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,≤100
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,≤100
522126697963113,Carlos Jordy,Carlos Jordy,≤100
359491867555824,Irajá,Irajá,≤100
100553136170825,Fena Saude,Fena Saude,≤100
120851971007853,Novo 30 - Goianésia,Novo 30 - Goianésia,≤100
