Page ID,Page name,Disclaimer,Amount spent (UYU)
339506493370193,Richard Sander,Richard Saul Sander Darín,239
2229936167288652,Juan Sartori,Equipo Juan Sartori,193
100461366389167,Bienestar Social IDR,Marcio Protti Toya,≤100
2189692867780422,Marcio Protti,Marcio Protti Toya,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100
118154551214432,Ormin Gonzales,These ads ran without a disclaimer,≤100
2258836034388943,Sak Fundación,These ads ran without a disclaimer,≤100
508154872627194,1001 Rocha,These ads ran without a disclaimer,≤100
128050063917913,ISF (International School Sport Federation),These ads ran without a disclaimer,≤100
