Page ID,Page name,Disclaimer,Amount spent (TRY)
102095934751904,Deva Partisi,Deva Partisi,1043
141870402543282,AK Parti,Ak Parti,206
111436922211991,AK Parti İstanbul,AK Parti İstanbul İl Başkanlığı,205
344704883576,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,193
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),181
510344522371733,Oy ve Ötesi,Oy ve Ötesi,134
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,≤100
176338225842984,Yeşil Sol Parti,Yeşil Sol Parti,≤100
105347052558895,Ülküm Türkiye,Taha Güven,≤100
101726388406507,Tabuta Sığmayanlar,Tabuta Sığmayanlar,≤100
1160506840785202,Murat Kurum,Murat Kurum,≤100
2281400925408962,Türkiye'ye Sahip Çık,Türkiye'ye Sahip Çık,≤100
76599755300,Kemal Kılıçdaroğlu,Kemal Kılıçdaroğlu,≤100
294889615437,Sinan Oğan,Sinan Oğan,≤100
100308889524493,Türkiye Yüzyılı,Arda Akın,≤100
106187277979172,Dijital Gaste,Veysel Karahan,≤100
107621395263001,Bilge Yılmaz,Bilge Yılmaz,≤100
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,≤100
101490908746353,Zafer Partisi,Zafer Partisi,≤100
210993622366044,TVNET,TVNET,≤100
787833781580301,Kim Kimdir?,Adem Demirkol,≤100
114597108291949,Haydi..ama nereye?,Excelligents,≤100
1930475813747433,Anket Araştırma Merkezi,Anket Araştırma Merkezi,≤100
191453580768,Yeni Şafak,Piri Medya Anonim Sirketi,≤100
274475286702,Muharrem İNCE,Muharrem İNCE,≤100
1407759386141852,Ahmet Akın,Ahmet Akın,≤100
392491680944925,Mevlüt Çavuşoğlu,Mevlüt Çavuşoğlu,≤100
928921137187670,ALİ UÇAK,Volkan Erel,≤100
103728271055286,Selçuk Kılıçaslan,Selcuk Kilicaslan,≤100
106826915720130,Özgür Erdem İncesu,Gökay Şahindokuyucu,≤100
108107585034488,Bahadır Erdem,Bahadır Erdem,≤100
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,≤100
804210899660885,Ahmet Katar,Ahmet Katar,≤100
110471555281943,Poddy Türkiye,Poddy Türkiye,≤100
100675732413915,Anketci.Net,Anketci.Net,≤100
319026564921676,Vatan Partisi,Vatan Partisi,≤100
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,≤100
120679647668758,Trabzon - Millet İttifakı Cumhurbaşkanlığı Seçim Koordinasyon Merkezi,İlker Akinci,≤100
107071471602676,sma.nuhalperen,These ads ran without a disclaimer,≤100
462963834529864,Levent Uysal,Levent Uysal,≤100
100568266218274,Gençliğin Yüzleri,Gençliğin Yüzleri,≤100
136130166537386,AK Parti Bursa İl Başkanlığı,AK Parti Bursa İl Başkanlığı,≤100
1437665699815071,Doğruluk Payı,Dogruluk Payı,≤100
117292434655657,Mehmet Kamil ŞİRİN,Nergiz Elmas Aydoğdu,≤100
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,≤100
500796300357232,Turgay Baştuğ,Milliyetçi Hareket Partisi Ankara İl Başkanlığı,≤100
246451168813753,Yeniden Refah Partisi Çekmeköy İlçe Başkanlığı,Süfyan Ayyildiz,≤100
107381685008054,Adnan İncetoprak,Adnan İncetoprak,≤100
821150371248664,Özgürlük Araştırmaları,Özgürlük Araştırmaları,≤100
1807684336017268,Rıdvan Eşin,Gökhan Öztürk,≤100
1538797929729690,Erkan Dönmez,Erkan Dönmez,≤100
234270976646888,Fatih Erbakan,Fatih Erbakan,≤100
654681201281174,Mehmet Bülent Karataş,Mehmet Bülent Karataş,≤100
723113807768777,Hasan Eryılmaz,Deniz Guner,≤100
203313693133528,samsunanaliz.com,Canan Yılmaz,≤100
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,≤100
219895681531374,İbrahim Ethem Sedef,Kenan Filik,≤100
113823067080077,DEVA Partisi Sivas İl Teşkilatı,Taha Kutlu Çevik,≤100
109530428771561,Ali Paşa Naipoğlu,Nergiz Elmas Aydoğdu,≤100
163862207788753,Muhammed Levent Bülbül,Hasan Sağlam,≤100
103141042761034,Ferda Ertürk,Oktay Yuksel,≤100
154267848761807,BBP Yaşar SAYAN,Büyük Birlik Partisi,≤100
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,≤100
100783189680158,Celal Ateş,Türkiye Komünist Partisi,≤100
105376981385020,Referandom,Referandom,≤100
100431406701471,Internethaber,Internethaber,≤100
254110651270938,Mustafa DESTİCİ,Mustafa DESTİCİ,≤100
111079321959977,Alperen Özmen,Alperen Özmen,≤100
104205562634100,Hakan Satılmış,Hakan Satılmış,≤100
459314071262613,Zeynettin Aydın,Zeynettin Aydın,≤100
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,≤100
106257739113036,Yudum Kaşıkçı,Yudum Kaşıkçı,≤100
109389565473710,Anahtar Sende,Ahmet Asena,≤100
815048841929079,M. Ergün Turan,M. Ergün Turan,≤100
358423644240138,Aydın Hedef Gazetesi,Aydın Hedef Gazetesi,≤100
109407151806354,İsmail İnlidere,İsmail İnlidere,≤100
103285814499773,Hikmet Yalım Halıcı,Hikmet Yalım Halıcı,≤100
172312959454958,Mustafa Sarıgül,Mustafa Sarıgül,≤100
426339260809702,Oğul Aktuna,Oğul Aktuna,≤100
2120953421492585,Oğuz Yılmaz Sosyal Medya Sayfası,Oğuz Yılmaz Sosyal Medya Sayfası,≤100
564235557361448,Gönül Adamı,Gönül Adamı,≤100
108376020766134,Metin Bolat,Metin Bolat,≤100
532775093532626,Yücel Bulut,Yucel Bulut,≤100
109648772104972,NNC MEDYA I nnchaber.com.tr,Kağan Onaran,≤100
107672922316658,Mehmet Bağlar,Mesut Tugrul,≤100
209175722605698,Saffet Sancaklı,Saffet Sancaklı,≤100
100575676334753,Zeynel Korkmaz,Şamil Mehmet Korkmaz,≤100
100665102848993,Gün Gün Kurtuluş,İlker  Tanrıverdi,≤100
265755167457983,Hüseyin Korkman,Hüseyin Korkman,≤100
109797878715416,Av. Mustafa ABAK,Ali Çakmakcı,≤100
374547199341007,Emin ÇINAR,Emin Çınar,≤100
107928707775311,Birlik Gazetesi,Birlik Gazetesi,≤100
1402997246686822,PROF. DR. BİLAL ÇOBAN,PROF. DR. BİLAL ÇOBAN,≤100
714161348691623,Türker Yörükçüoğlu,Türker Yörükçüoğlu,≤100
425757864244456,Süleyman Karaman,Ali Umar,≤100
319726958236378,Turan Yaldır,Turan Yaldır,≤100
826962830994576,Ethem Karahan,Ethem Karahan,≤100
1411702415710467,Zekai Kaya,Zekai Kaya,≤100
101316846258251,İbrahim Şenel,Ibrahim Şenel,≤100
105403022557210,Ak Parti Muğla Milletvekili Adayı Eylem TAN,EYLEM TAN,≤100
118252304569567,Ahmet Baran Yazgan,Serkan Yanıkses,≤100
2040128776040928,Yelda Erol Gökcan,TBMM,≤100
105915341216004,Mesut Nur,Mesut Nur,≤100
113851270433840,Türkiye İşçi Partisi-Antalya,Eylem Karaman,≤100
321011291264753,İsmail Özdemir,Milliyetçi Hareket Partisi,≤100
114663754929212,Av. Seyit Özcan,av seyit özcan,≤100
101519926236417,Mustafa Akın,Mustafa Akın,≤100
306491676172909,Gerçek Gazetesi,Gerçek Gazetesi,≤100
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,≤100
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,≤100
1631624877069673,Selim Çakır,Selim Çakır,≤100
117838861275362,Fahrettin Tuğrul,Fahrettin Tuğrul,≤100
101373896284011,Sma Hastası Azer Bebek - Bağış Kampanyası,Irem Kaplan,≤100
109514177857013,Yeniden Refah Partisi Simav,Yeniden Refah Partisi Simav İlçe Başkanlığı,≤100
108049655614131,Cumhurun Seçimi,Kurumsal Reklam,≤100
109777492466397,CHP Antalya İl Başkanlığı,CHP Antalya İl Başkanlığı,≤100
112192125157541,Ercan Öztürk,Ercan Öztürk,≤100
788593847885854,Nermin Yıldırım KARA,Nermin Yıldırım Kara,≤100
655349114629011,Av. Ece Güner,Av. Ece Güner,≤100
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,≤100
100123129119801,Ahmet Toklucuoğlu,Ahmet Toklucuoğlu,≤100
1776545895921237,Nedersiniz,Nedersiniz,≤100
772187612859346,Erkan Haberal,Erkan Haberal,≤100
364129684334540,Yılmaz İLHAN,Yılmaz İLHAN,≤100
109381015468594,Halil Yıldırım BBP,Halil Yıldırım,≤100
459374448202949,Doruk BULUT,Doruk Bulut,≤100
117332004664282,Ali Selman IŞIK Niğde Millet Vekili,Ali Selman Işik,≤100
100457632875627,Ergin Arslan,Arslan Bilgi Teknolojileri Ltd Şti,≤100
1002521723283648,Ayhan Kınden,Ayhan Kınden,≤100
535720086896194,Dr. Ömer Selim Alan,Can Bayram,≤100
100183523065598,Mutlu Akkaya,Mutlu Akkaya,≤100
144096473392,Yeşil Gazete,Yeşil Gazete,≤100
101412155815146,Seracettin Bedirhanoğlu,Seracettin Bedirhanoğlu,≤100
125443057854939,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,Tolga Erener AK PARTİ Giresun Milletvekili Adayı,≤100
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,≤100
105716839182141,Köylü Kadın,Kurumsal Reklam,≤100
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,≤100
103331031478719,Rıfat T. Nalbantoğlu,Rıfat T. Nalbantoğlu,≤100
113779998350948,Tarık Hatipler,Burak Doğan,≤100
119960821075537,Milletin Sesi,Kurumsal Reklam,≤100
289270345073936,İsmail Hakkı Bakır,İsmail Hakkı Bakır,≤100
413113452433564,Cengiz Gökçel,Cengiz Gökçel,≤100
105377837597506,Gonya TV,Osman Avci,≤100
108948042194888,Mustafa Bolakar,Mustafa Bolakar,≤100
127443153589651,Hasan Demir,Hasan Demir,≤100
113027408315708,Herkes Duysun,Herkes Duysun,≤100
102824892800588,Zeynep Bilgiç,Zeynep Bilgiç,≤100
111294605291725,HAŞİM YANAR,Haşim Yanar,≤100
101605686227473,Hakan Kuşçuoğlu,Hakan Kuşçuoğlu,≤100
596449673702582,Gaziantep Büyükşehir Belediyesi,Gaziantep Büyükşehir Belediyesi,≤100
122654387479002,Sevda Karaca,Sevda Karaca Demir,≤100
113562291720284,Cumhuriyetçi Kadın,Kurumsal Reklam,≤100
111589081920420,Kadınların Gücü,Kurumsal Reklam,≤100
111887268543713,Fatih Meşe,Abdürrahim Kır,≤100
115689658163861,Hakan Öztürk,Özge Akman,≤100
104583269180967,Nusret Acur,Semih Çalışkan,≤100
704507633271313,Bülent Şükrü Altınışık,Batuhan Efe Öner,≤100
104686032474594,Başka Gazete,Başka Gazete,≤100
122089247452746,Osman Seçgin,Osman Avci,≤100
120114614397446,Kübra Dursun,Sinan Ergül,≤100
144369108949589,Prof. Dr. Yasemin AÇIK,Prof. Dr. Yasemin AÇIK,≤100
1614212022160759,Fehmi Yağlı,Fehmi Yagli,≤100
267371006972545,Ali Adnan KAYA,Ali Adnan KAYA,≤100
163370640412446,Bursa,Sosyal TV,≤100
125583954288495,AK Parti Manisa İl Başkanlığı,AK Parti Manisa İl Başkanlığı,≤100
911466802392220,Nezih Yalçın - Akdağmadeni Belediye Başkanı,Nezih Yalçın,≤100
117756791242075,Arif Ataman - Artvin Bağımsız Milletvekili Adayı,Arif Ataman,≤100
805926876122264,Suat Özçağdaş,Suat Özçağdaş,≤100
113506495059583,Kadınların Reisi,Kurumsal Reklam,≤100
2037050303009041,Abdullah Karapıçak,Abdullah Karapıçak,≤100
103599182728857,Doğru Adam,Kurumsal Reklam,≤100
101742219570110,Reis Reisoğlu,Servet Törer,≤100
