Page ID,Page name,Disclaimer,Amount spent (USD)
218413031955878,ЭЛБЭТ ус халаагчтай угаалтуур,ЭЛБЭТ ус халаагчтай угаалтуур,≤100
2032935363584959,Цэвэгдоржийн Туваан,Цэвэгдоржийн Туваан,≤100
227192547292661,Норовын Алтанхуяг,Uuganbayar Lkhagvasuren,≤100
339646519820476,Garden City хотхон,Garden City хотхон,≤100
454746178067182,Purevdorj Bukhchuluun,Purevdorj Bukhchuluun,≤100
503979376453643,Сонгогчдын Боловсрол Төв,Сонгогчдын Боловсрол Төв,≤100
142250119297183,Гомбожавын Занданшатар,These ads ran without a disclaimer,≤100
