Page ID,Page name,Disclaimer,Amount spent (NGN)
14312764639,Atiku Abubakar,The Atiku Campaign,20905
753031955030992,Atiku-Okowa.com,One Nigeria Movement,14536
681779338505564,Yiaga Africa,Yiaga Africa with Facebook Ad Credits,9226
306380336545577,Muhammad Sani Dattijo,Dattijo For Senate 2023,5344
171885956874687,Because Of Our Tomorrow,BOOT Party,5182
123838944328164,Rethink Nigeria,Rethink Nigeria,3093
102619289418448,Refined Alliance for Atiku,Pius Ihechi Ikeoba,2025
102096876127435,BAT 2023,Abraham Adesanya Adetutu A.,1384
109187398481463,Peter Ndubuisi Mbah,Peter Ndubuisi Mbah,1176
101300476067946,The Northern Umbrella Forum,Northern Umbrella Forum,946
273475106700480,Peter Obi Support Network,Wilson Obinna Agu-Thomas,923
116248814706806,Vote4climateng,Adebiyi Agnes,886
1744066139231173,Princess Josie Slowly deteriorating,These ads ran without a disclaimer,568
105208365731340,F-SAO4Tinubu/Shettima2023,Emmanuel Oko,508
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,499
280983209099426,Isa Ashiru Kudan,Bamali Surajoddeen Saad,461
104680361991427,Hon. Mojisolaoluwa Alli-Macaulay,Omayeli Christabell Amorighoye,444
103018869332378,BantuPage,Ikechukwu Orji,376
105018565612690,Atiku Listens,Atiku Listens,354
106804501674694,Naked Truth Productions,Naked Truth Productions,267
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,265
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,241
654180731859809,T-Police,T-Police,234
100202924924063,Page 36,Page 36,197
163415157011050,Elevation NG,The Elevation Church,190
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,188
100227202825420,Booth 2 Booth With Tinubu,Booth 2 Booth With Tinubu,164
188127847873279,INEC Nigeria,INEC Nigeria,157
511160669047435,Senator Bassey Albert  - OBA,Benedict Raphael Ibanga,142
345763855563592,Savdfutur,Savdfutur,135
100383154696053,Lukaconfu vocal,Lukaconfu vocal,125
113891508248179,Chi market place,Chinemere Okoro Wilfred,119
101075832871727,Progressives For Renewed Hope,Progressives For Renewed Hope,≤100
1813961455356524,Sen. Lawrence Ewhrudjakpo,Sen. Lawrence Ewhrudjakpo,≤100
101622722635138,Advocacy For Good Governance,Nnadi Sunny,≤100
100891936186234,Lekan Magnus Lakim,These ads ran without a disclaimer,≤100
102169824695398,Rero TV,Rero TV,≤100
101836915650800,Veritas MEDIA,THE POLITICO,≤100
102942029364614,YOUTH MUST OBEY,These ads ran without a disclaimer,≤100
110159690508913,Global Survey,These ads ran without a disclaimer,≤100
2332837953706535,Gerald N. Udonsi,These ads ran without a disclaimer,≤100
111062555210384,Autogramng,These ads ran without a disclaimer,≤100
307368095985461,I Sign Against Corruption,These ads ran without a disclaimer,≤100
110218315025705,Newsan National Secretariat.,THE SOCIETY FOR WATER & SANITATION – NEWSAN,≤100
100064089814990,,These ads ran without a disclaimer,≤100
100104176253470,Prophèt Onyedikachi Ogozi,These ads ran without a disclaimer,≤100
1378356925818542,Gombe South Rebirth Forum,Joshua Keftin Amuga,≤100
101649462831068,Delta advocate 4 sheriff uk,Benjamin Mathew,≤100
105018565612690,Atiku Listens,These ads ran without a disclaimer,≤100
109225188534168,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim 2023.,Mubarak Hamza Adam,≤100
102322559420207,Faniyi Wale,These ads ran without a disclaimer,≤100
107966181752945,Muri Advocacy Network-MAN,These ads ran without a disclaimer,≤100
112372781761085,Abibat Mogaji Beneficiaries Vanguard 4 BAT,Odunbaku Sodiq Adekunle,≤100
134576693722549,ISYAKU.COM,These ads ran without a disclaimer,≤100
103876095960528,Adewole Adebayo Presidential Campaign,Adebayo Adewole Campaign Group,≤100
110629564899604,Adetokunbo Adeaga - Comfort 2023,Ayodeji Taiwo Oladeji,≤100
114009474939343,Hon. Collins Ezenwa Ilo,Collins Ezenwa Ilo,≤100
1962520040633968,Minister Emman,These ads ran without a disclaimer,≤100
104203915765050,vee_realtor,These ads ran without a disclaimer,≤100
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,≤100
109466785028287,Prince Dr Emeka Eze,Michael Obiekwe,≤100
103060401407185,Bayelsa Government New Media,Bayelsa Government New Media,≤100
1746241522274014,Hajiya Maryam Mairo Aminu Waziri Tambuwal Online Forum,Amiru Adamu,≤100
56777943052,One Young World,These ads ran without a disclaimer,≤100
100318556109764,St.Patooo,These ads ran without a disclaimer,≤100
111681675158770,Broken not Shattered,These ads ran without a disclaimer,≤100
101236935303293,Trivia.com - Trivia,These ads ran without a disclaimer,≤100
101246432732955,Chijioke Okereke Campaign Organization - COCO,Chijioke Okereke Campaign Organization - COCO,≤100
10750083165,The Africa Report,These ads ran without a disclaimer,≤100
2162773263850270,Khalil Network,Khalil Network,≤100
101620952700531,Babandi Ibrahim,Babandi Gumel Ibrahim,≤100
316496640057,7iber,These ads ran without a disclaimer,≤100
102064925267644,GOVERN-MEND,GOVERN-MEND,≤100
102835755970763,NN19,NN19,≤100
