Page ID,Page name,Disclaimer,Amount spent (DKK)
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,12870
12860228293,Politiken,Politiken,7231
112229035481469,HK Danmark,HK Danmark,2689
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,2231
250994288337708,Sex og Samfund,Sex og Samfund,1746
65929129383,Røde Kors,Røde Kors,1478
12787473132,Berlingske,Berlingske,1438
437410226312057,Københavns Kommune,Københavns Kommune,1201
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,1130
123653695693986,Motatos Danmark,Motatos,1125
130388840342741,Danske Bank,Danske Bank,954
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,803
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,594
748887235210811,Obton Forvaltning A/S,Obton A/S,578
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,545
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,532
114022008656246,Danmarks Indsamling,Danmarks Indsamling,510
867877683280051,Weekendavisen,Weekendavisen,503
22030968736,Anima,Anima,502
59143726810,Psykiatrifonden,Psykiatrifonden,497
55365680705,Greenpeace Danmark,Greenpeace Danmark,477
102154048301476,Lederstof.dk,Lederne,412
110560691837684,SolCompagniet,SolCompagniet,404
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,384
72672361910,Børns Vilkår,Børns Vilkår,360
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,349
246977185497434,Plastic Change,Plastic Change,348
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,339
314676938743,DM din akademiske fagforening,DM,335
304554445813,Videncentret Bolius,Videncentret Bolius,328
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,287
106468772046278,Project Greensand,Project Greensand,242
132344416862423,FOA,FOA,204
287306323369,Børnecancerfonden,Børnecancerfonden,199
200709746630443,Dyrenes Beskyttelse,Dyrenes Beskyttelse,191
105511328705392,HØRT,Børns Vilkår,188
1417372171814283,Byggegruppen 3F,Byggegruppen 3F,188
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,181
126543540781090,Ældre Sagen,Ældre Sagen,179
1724068710936501,Anja C Jensen,HK Danmark,172
334571029981175,DM og MA studerende,DM,162
852608988134698,Tikko,Tikko,161
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,161
1427602130822979,Konservative i Brøndby,Konservative i Brøndby,148
69985338410,Jacob Mark,SF,137
110953988146557,Mads Samsing,HK Danmark,130
190899834388,PROSA - Forbundet af It-professionelle,Emilie Kristine K. Rasmussen,129
267019152979,"DPU, Aarhus Universitet",Carsten Henriksen,128
49348971479,Pia Olsen Dyhr,SF,128
181330585392156,Skattestyrelsen,Skattestyrelsen,124
145194885519706,Kulturværftet,Kulturværftet,121
341299649231023,Zetland,Zetland,113
2319925761607995,Radio4,RADIO FM4 A/S,113
759082797552576,Folkekirkens Nødhjælps Genbrug,Folkekirkens Nødhjælp,101
