Page ID,Page name,Disclaimer,Amount spent (SLL)
331095246920291,Sylvia Olayinka Blyden,Blyden Sylvia Olayinka,20000
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,≤100
331095246920291,Sylvia Olayinka Blyden,These ads ran without a disclaimer,≤100
