Page ID,Page name,Disclaimer,Amount spent (TWD)
119282744754924,台灣人權促進會 Taiwan Association for Human Rights,台灣人權促進會 Taiwan Association for Human Rights,≤100
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,≤100
327986657268286,高雄市議員李雅靜,廣諺 鄒,≤100
1503745219913314,"孫大千Sun, Ta-Chien","孫大千Sun, Ta-Chien",≤100
101718182459153,天秤座戰士,Companionship Digital,≤100
114408138623539,PanSci 科學新聞網,These ads ran without a disclaimer,≤100
127628276929,天下雜誌,天下雜誌,≤100
1645501069043806,科科性別,國立高雄師範大學,≤100
112571907179969,玩霸教育,思揚 蘇,≤100
496813096999772,凱特王,These ads ran without a disclaimer,≤100
791039751042770,好民文化行動,好民文化行動,≤100
108096904126871,數位女力聯盟WIDI,凱強 張,≤100
159425621565,Inside 硬塞的網路趨勢觀察,The News Lens 關鍵評論網,≤100
224716348398040,SMAT台灣智慧移動產業協會,台灣智慧移動產業協會,≤100
101278561893503,永續實現的∞種可能,永續實現的∞種可能,≤100
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,≤100
1409006279407668,美麗而剽悍 婦產科女醫 新竹竹北 張瑜芹醫師,荏傑 楊,≤100
106466901177714,太武新村眷村文創園區,太武新村眷村文創園區,≤100
110073605249640,關鍵新視野,These ads ran without a disclaimer,≤100
105931358099314,遠雄文教公益基金會,遠雄文教公益基金會,≤100
1553668178254881,淨毒五郎 Chef Clean,志強靳,≤100
195094157238158,好立委 楊瓊瓔,宛儀林,≤100
106884252092730,恆好玩｜永續行動平台,恆好玩｜永續行動平台,≤100
113791200340934,經典公益郵舍-跟著韓老師玩轉收藏世界,孟達 韓,≤100
111695394938904,桃園市議員 陳韋曄,韋曄陳,≤100
564408486971527,呂維胤-為你打拼,維胤 呂,≤100
1992951864115792,周柏吟,柏吟周,≤100
113115841660729,廖偉翔,偉翔廖,≤100
100216765069813,唐平榮 執行長的人生甘味廚房,唐平榮 執行長的人生甘味廚房,≤100
335544036485779,經濟部,These ads ran without a disclaimer,≤100
182051388480660,客家委員會 Hakka Affairs Council,These ads ran without a disclaimer,≤100
521176024619313,花輪哥,傑齊 黃,≤100
105559305713150,PlanetPlay Global,These ads ran without a disclaimer,≤100
265993950185922,雞雞北鼻《正宗韓式炸雞店》,These ads ran without a disclaimer,≤100
120653918021517,中國人壽,These ads ran without a disclaimer,≤100
120633904332712,Williams Avalos,These ads ran without a disclaimer,≤100
