Page ID,Page name,Disclaimer,Amount spent (QAR)
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
100884009485439,American Global Consulting - Education,These ads ran without a disclaimer,≤100
115599231576729,Juwel Rana,These ads ran without a disclaimer,≤100
