Page ID,Page name,Disclaimer,Amount spent (MYR)
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,≤100
693929714007978,Hj Nicholas Sylvester Muhammad Abdullah,Portal Mudah,≤100
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,≤100
221159141657466,Newswav,Newswav - Malaysia Latest News,≤100
877142645638002,Viralcham.com,Viralcham.com,≤100
106062929016034,Capucine Galaxy Media,These ads ran without a disclaimer,≤100
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,≤100
87363369882,Sinar Harian,Sinar Harian,≤100
103406462160763,Nat Market,VIDARA SDN BHD,≤100
108663174904241,AH SOON,MCA AYER HITAM,≤100
323430554527880,SAYS SEISMIK,SAYS SEISMIK,≤100
101193781637538,sumbangan.com,sumbangan.com,≤100
140910022595888,JHEV ATM,JHEV ATM,≤100
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,≤100
574453395978228,Galeri Kufi,These ads ran without a disclaimer,≤100
100569215711534,Sinar Daily,Sinar Daily,≤100
149208308580838,Fuziah Salleh,Keadilan Rakyat,≤100
330750857632133,Che'GuBard Original,Ahmad Anwar Asyraf Bin Ismail,≤100
214066990599,Berita Harian Online,Berita Harian Online,≤100
11450527254,The Star,These ads ran without a disclaimer,≤100
102750612676315,Maahad Tahfiz Darul Ulum Al-Furqani Kelantan,Mohd Helmi Bin Mohd Ibrahim,≤100
221096761346,Utusan Online,Media Mulia Sdn Bhd,≤100
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,≤100
401340596873929,The True Net,Yoke Har Ng,≤100
108213478238644,AllSight Malaysia,AllSight Malaysia,≤100
192323984171757,Latest Malaysia News,Kazi Mahmood Fatagar,≤100
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,≤100
108380465291758,Yong Teck Lee Official,Yong Teck Lee Official,≤100
205362186029,Credit Suisse,These ads ran without a disclaimer,≤100
784689321575366,OV Holidays,These ads ran without a disclaimer,≤100
