Page ID,Page name,Disclaimer,Amount spent (HNL)
703368406666619,Vox Populi HN,Vox Populi HN,124
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,≤100
349524351841734,Cárlenton Dávila,Jose Carlenton Davila Mondragon,≤100
112724021787834,Por Nuestros Hijos,Con Mis Hijos No Te Metas HN,≤100
114601521910,Jorge Aldana,Jorge  Aldana,≤100
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),≤100
108854322177699,Titanes de la Niñez,Con Mis Hijos No Te Metas HN,≤100
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100
112529930493702,Democracia en Acción Hn,These ads ran without a disclaimer,≤100
102257292713372,Alejandra Morales,These ads ran without a disclaimer,≤100
703368406666619,Vox Populi HN,These ads ran without a disclaimer,≤100
104599735671754,Goberna Honduras,Goberna Honduras,≤100
109459948457740,Gustavo Caceres Diputado,Gustavo Alberto Caceres Banegas,≤100
856012741442139,Ipas LAC,Astrid Leticia Aguilar Pinell,≤100
