Page ID,Page name,Disclaimer,Amount spent (INR)
564555960375146,Bhavya Multimedia Services,Mahesh Raut,206
102057352211388,Lokmat Mumbai,Pranoti Vasant Dalvi,204
710582525667586,Virendra Kukreja B.J.P,Virendra Ghanshyamdas Kukreja,200
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,197
106419318795914,Snow Nest,Twilight ads,194
2289292054651400,Malhar Patil,Trimurti Techserv Pvt. Ltd.,191
100790243951550,Shivsrushti Pune,Media Vidya,190
476420132700040,Mla Saroj Ahire,Swapnil Maruti Deokar,185
447093328780745,Sanjay Waghule,Amit Medhekar,178
107493215534362,AAP Amarjeet,Kavita Kumari,173
110431218358189,Take Back Bengaluru,Take Back  Bengaluru,169
484005141664737,Lokmat Pune,Pranoti Vasant Dalvi,166
101169975741947,Brandscouncil Ratings,Council for Brand Business Promotions & Research,161
107153958711155,South First,south Fist,161
108537508471350,theemissary_,These ads ran without a disclaimer,160
487142882056901,Apna Manohar,Ajit Kumar,154
102247648189554,Political महाराष्ट्र,Shamal Hiralal Khairnar,148
109865758363404,Ojamin India,Ashish Ramesh Joshi,147
2421483091409240,Lokmat Jalgaon,Pranoti Vasant Dalvi,145
1642717489328594,Ankita Anil Vidhate,Anil Keshav Vidhate,145
114444614830737,Strategic Sales Management - IIM Indore,These ads ran without a disclaimer,144
104490652376878,Vijay kumar kalyan matka,Vijaya Kumar,143
108149058673016,Uttam Raosaheb Patil,Prashant Jitendra Patil,139
102608619253290,Dr Kundan Sudhakar Phegade,Akash Singh,138
606877419792314,Amit Chaudhary,Karan Singh,136
247464806179953,S M Nasar,S N Asim Raja,136
111473091445002,Mamta Yadav BJP,Mamta Yadav,135
108569778323608,MedilinksIndia,Medilinks India,134
109400273976649,Baat Bihar Ki,Baat Bihar Ki,133
611331855579071,Chitral World,Chitral World,133
112337648164178,Surya Samachar,Ajit Kumar,132
1571167366231304,Ramakant Bhargava,Saket Bhargava,131
449538358418368,GE,These ads ran without a disclaimer,131
126819047366375,Shrimad Rajchandra Love and Care,These ads ran without a disclaimer,128
113871470976100,Aruna Avinash Kale,Pavan Laxmanrao Bhalerao,128
105918132279967,DM Online Service,Chandra Pratap Singh,125
113760472017494,Luminous,These ads ran without a disclaimer,125
674757045920691,Jayadev Galla,Aditya Vemulapalli,123
1691192341172352,Yashwant Bhau Bhosale,Sushant Sayaji Salunkhe,119
109024531917635,Vaishali Suryawanshi - वैशाली सुर्यवंशी,Sunny Dilip Shirode,119
107796941073051,Appasaheb Kothule Adhikrut,Aappasaheb Madhukar Kothule,117
395910177835208,Vijay Kumar Singh Congress,Rahul Shrivastwa,113
106239365651585,અલ્પેશ સૌના છે,Nikhil Aggarwal,112
1812593405455450,Abhimanyu Pawar,Nivrutti Ashok Sugave,110
110708548198741,Varsha Jagtap - वर्षा जगताप,Inbound Media Pvt Ltd,109
142752549111246,Construction World Magazine,Asapp Info Global Services Pvt. Ltd,108
106433027745780,National Students Union - NSU,These ads ran without a disclaimer,108
203814220414409,Shubham Mandole - शुभम मांडोळे,Shubham Lakshman Mandole,108
606637642815737,Sharad zambre,Sharad Prabhakar Zambre,107
103416108843131,Dig-Vijay Management App,Digvijay Hanmant Gaikwad,106
445420235559825,Mohan Joshi,Codestrela,105
108335282107234,DharmJeet,Karan Singh,102
101431949440959,Ashok Chalak - अशोक चाळक,Ram Ashok Kalapahad,102
551959658561415,PK Fan Club,These ads ran without a disclaimer,101
106872848798655,"AAM AADMI party- Matunga, Dadar",Nitin Ramesh Dalvi,101
103674705306078,Trinkerr,These ads ran without a disclaimer,≤100
106119054198607,Vijay Kumar Councillor,Adarsh Pandey,≤100
484694901661075,2baconil,ZERO GRAVITY COMMUNICATIONS,≤100
108564890698720,Dhairryasheel Vijaysingh Patil,Sublize Technology,≤100
105425455564298,Sachin Manwatkar - सचिन मानवतकर,Sunny Dilip Shirode,≤100
110807381518678,Deepak NivruttiAnna Bandal,Sunny Dilip Shirode,≤100
748750528667542,Corporate Chanakya,Veera Venkata Chowdary Maddukuri,≤100
112203243580573,Kusumlata Ramesh,Anshumaan Singh,≤100
103868385851612,MahaYuti - महायुती,Akshaykumar Shesherao Barve,≤100
197190654527820,Marathi Tadka - मराठी तडका,Akshaykumar Shesherao Barve,≤100
110547558463007,अनाथांचा नाथ - एकनाथ,Ashish Suryakant Babar,≤100
428465600694050,Archana Ranajagjitsinha Patil,Mangesh T Chaudhari,≤100
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,≤100
126275820728403,Balu Shukla,Khushbu S Shah,≤100
103805294563543,Pragati Pictures Production,Rakhi Ramanand Singh,≤100
894926347192119,Fauzia Khan,Inspire,≤100
408255699307921,Dr. Manoj Rajoria,Saurabh Saini,≤100
110547558463007,अनाथांचा नाथ - एकनाथ,Akshaykumar Shesherao Barve,≤100
140930379388330,Kishan Reddy Gangapuram,TechnoDigi,≤100
110115671863420,Kacche Din,Kacche Din,≤100
323533675176475,Jitendra Vaidya,Aarti Seth,≤100
1601094433447847,Ganesh Deshmukh,Ganesh Bapusaheb Deshmukh,≤100
265992950099792,Panchjanya,Bharat Prakashan (Delhi) Limited,≤100
107709025452015,AYW Solapur,Gagan Gajanan Godase,≤100
115005408992492,Dharamvir Singh,Kuldeep,≤100
405952736604783,Rajendrasinh Mohansinh  Rathava -Rajubhai Bjp,Digitix Media,≤100
105549345555779,Chetan Meshram - इंजि. चेतन महेशजी मेश्राम,Akash Singh,≤100
112867380444214,Rajvardhan Singh Dattigaon,Shailendra Sial,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India",Sourabh Arvind Dubey,≤100
700079793418618,J S Patel Fan Club,Ankitkumar Dineshbhai Patel,≤100
100196004828444,North Eastern Council,Sourabh Arvind Dubey,≤100
247698975430137,Basava Nadina Bhagiratha,Vishwanath Bs,≤100
108934881962235,Smt. Surekha Inderchand Daga,Surekha Daga,≤100
104628274863598,भाजपा येणार मुंबई घडवणार,Mahesh Dattatray Bhendekar,≤100
104631860945679,The Incubation Network,These ads ran without a disclaimer,≤100
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100
21474437688,Deloitte,These ads ran without a disclaimer,≤100
