Page ID,Page name,Disclaimer,Amount spent (SAR)
107413148472477,hairstyle_hajer,These ads ran without a disclaimer,≤100
106334182540171,스키마리딩,These ads ran without a disclaimer,≤100
101298952184245,Md Jahid Hassan 112,These ads ran without a disclaimer,≤100
100473238262224,Energy News - أخبار البترول والطاقة,These ads ran without a disclaimer,≤100
115449021599488,Paling Royal Kami,These ads ran without a disclaimer,≤100
104211315862140,House of Kings Properties,These ads ran without a disclaimer,≤100
100989513102172,Ludie Dooley,These ads ran without a disclaimer,≤100
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100
110177867131162,Ajman Houses,These ads ran without a disclaimer,≤100
112755591911320,Dulal Miea,These ads ran without a disclaimer,≤100
116549611393453,Bharat ke Sena,These ads ran without a disclaimer,≤100
