Page ID,Page name,Disclaimer,Amount spent (VEF)
11449543593,Carlos Ocariz,an advertiser in Venezuela,3980068
564188034075673,Roberto Enriquez,an advertiser in Venezuela,570010
636083079869147,COPEI Legítimo ODCA,an advertiser in Venezuela,445008
104879185592206,mayordomo_vzla,These ads ran without a disclaimer,250000
112759588312679,cesaralmeida2024,an advertiser in Venezuela,250000
116093674518,César Pérez Vivas,an advertiser in Venezuela,250000
100824022313490,Web Curiosa,These ads ran without a disclaimer,18069
101345119479910,wwsynergies,These ads ran without a disclaimer,≤100
305828002808516,INHOPE - International Association of Internet Hotlines,These ads ran without a disclaimer,≤100
105971132265220,Luis Fernando Guerra O,an advertiser in Venezuela,≤100
103360382536283,Rasheedah Anne,These ads ran without a disclaimer,≤100
102199795319206,Pablo Marçal Oficial,These ads ran without a disclaimer,≤100
328491264336769,Ecobalms,These ads ran without a disclaimer,≤100
