Page ID,Page name,Disclaimer,Amount spent (CHF)
364939817683277,Marco Hirzel Politik,Marco Hirzel Politik,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
864604443735247,SVP Bezirk Dietikon,SVP Bezirk Dietikon,≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
921336971288655,Nagra,Nagra,≤100
112625851413162,Roman Schmid,Roman Schmid,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
1483343695307824,Campax,Campax,≤100
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,≤100
