Page ID,Page name,Disclaimer,Amount spent (VEF)
341721517096411,Radio Asamblea Nacional,an advertiser in Venezuela,340001
564188034075673,Roberto Enriquez,an advertiser in Venezuela,250000
37896015468,"Embajada de los EE.UU., Venezuela",an advertiser in Venezuela,250000
333721726763601,Darwin Gonzalez,an advertiser in Venezuela,35000
100520825048827,Movant Connection,These ads ran without a disclaimer,2550
401718346592691,Bisexual.org,These ads ran without a disclaimer,≤100
561183654317172,Jose Manuel Armas,These ads ran without a disclaimer,≤100
82928774489,Panda Security,These ads ran without a disclaimer,≤100
329454973810761,Elias Sayegh,an advertiser in Venezuela,≤100
175622742886671,NutriNews Latam,These ads ran without a disclaimer,≤100
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100
