Page ID,Page name,Disclaimer,Amount spent (ILS)
107217383988190,מגזין אפוק,Epoch Magazine,2453
103428925850338,אבי סלמה - נתניה,אבי סלמה - נתניה,1080
2000794536638986,אהרון אורגד - מחוברים למען נתניה,אהרון אורגד - מחוברים למען נתניה,984
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,983
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,842
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,840
219091481560790,מרים פיירברג - איכר,נתניה אחת,794
108714485611920,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,608
104422122740691,Рами Гринберг - мэр Петах-Тиквы,רמי גרינברג ראש עיריית פתח תקווה - סיעת התחדשות למועצת העיר,591
101573499695928,ים מאיר קרן,נתניה אחת,500
936130799779065,עו״ד אלברט טייב בשביל הכפר,עו״ד אלברט טייב בשביל הכפר,447
295211077200566,מרצ כפר סבא,מרצ כפר סבא,426
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",417
204780362875106,מקור ראשון,מקור ראשון,411
2241550506131359,שמואל בוקסר,שמואל בוקסר,380
615531405455497,הדר לביא,הדר לביא,363
1662907067255622,איגוד הגז הטבעי,Unik,344
325048350950892,רמי גרינברג,עיריית פתח תקוה,344
316346795391337,"פתח לתקווה - בראשות עו""ד אורנה דוידאי","פתח לתקווה - בראשות עו""ד אורנה דוידאי",339
1197610913585169,אורנה ברביבאי - Orna Barbivay,אורנה ברביבאי - Orna Barbivay,336
1073548259341247,לובי 99,לובי 99,336
686234638242071,חיים ביבס,חיים ביבס,329
106836891775374,אסנת ספורטה - Osnat Saporta,אסנת ספורטה - Osnat Saporta,320
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,317
108115348997001,מידן בר לראשות מועצת עמק חפר,מידן בר,311
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",309
138399090105076,הבנק החברתי למזון תינוקות,הבנק החברתי למזון תינוקות,308
251119721945461,אופיר סופר - Ofir Sofer,"ח""כ אופיר סופר",306
1372218169585611,"איתי מתיתיהו - סגן ראש העירייה, יו""ר רשימת יש עתיד וצעירי ראשון לציון","איתי מתיתיהו - סגן ראש העירייה, יו""ר רשימת יש עתיד וצעירי ראשון לציון",291
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,261
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,258
112169951926386,אלון רוזן,אלון רוזן,253
104040559429062,טליה לנקרי לראשות מועצת גדרה,טליה לנקרי לראשות גדרה,249
114201461733889,"מיכאל וידל- ראש עיריית רמלה, העמוד הפוליטי",ראש העיר מיכאל וידל,239
113842953300993,מצלמת אבטחה ונסיעה לרכב Proof,These ads ran without a disclaimer,222
110218465442225,אורן חזן - ראש עיר חזק לאריאל,אורן חזן,220
113860335130519,אברהם דז'ורייב,אברהם דז'ורייב,217
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,216
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,213
112848572066805,מחאת ההייטק,מחאת ההייטק,201
108475418971479,Ави Слама - новый мэр Нетании,Ави Слама - новый мэр Нетании,197
321795461283120,גנאדי בורשבסקי,גנאדי בורשבסקי,196
175285029214345,הציונות הדתית,ציונות דתית,196
100741026415101,המושבה,מורן מן,192
877405719007268,מכון ארגמן - Argaman Institute,מכון ארגמן,192
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,191
206510126595474,Максим Бабицкий,Максим Бабицкий,186
1707634605950132,קרן גרין,קרן גרין,185
107124799990825,חן שרייבר-נשיא לשכת רואי החשבון בישראל,חן שרייבר,176
116575188131179,אשר קסו - Asher Kaso,אשר קסו - Asher Kaso,169
111207016890796,Liora Levy - ליאורה לוי,נתניה אחת,159
107863545666861,"עו""ד נתנאל אחרק - מועמד לראשות עיריית ראש העין",נתנאל אחרק,157
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,150
1010890709085110,תומר יעקב,תומר יעקב,150
531891887148785,הראל שהם - Harel shoham,הראל שהם - Harel shoham,143
298350000726503,רחלי כדורי לראשות מועצת אורנית,רחלי כדורי לראשות מועצת אורנית,143
164340093647420,צעירי ישראל ביתנו,ישראל ביתנו,140
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,138
104222621115858,הביטחוניסטים,הביטחוניסטים,130
767262423350854,פורום הדיור הציבורי,פורום הדיור הציבורי,128
120219177648236,רוח חדשה ברמלה - בראשות רותם כהן כחלון,רוח חדשה ברמלה - בראשות רותם כהן כחלון,128
108220028402956,هيثم طه - رئيس بلدية كفر قاسم القادم بإذن الله,هيثم طه - رئيس بلدية كفر قاسم القادم بإذن الله,127
279689895974754,Avi Slama Votre prochain Maire de Netanya,Avi Slama Votre prochain Maire de Netanya,126
368008289967391,יואל גמליאל,יואל גמליאל,126
105877902554008,ערן גלזר - לראשות מועצת גדרות,ערן גלזר,125
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,122
649373828424341,Moshe Lion - משה ליאון,Moshe Lion - משה ליאון,119
125091411019052,שושי כחלון-כידור,שושי כחלון-כידור,115
114576374002080,Карин Брагински - депутат горсовета Реховота,Карин Брагински - депутат горсовета Реховота,112
407443356001463,יאיר רביבו,יאיר רביבו,105
196010704541252,ניר קריסטל - Nir Crystal,ניר קריסטל - Nir Crystal,≤100
101321749348491,אליהו רביבו Eliyahu Revivo,אליהו רביבו Eliyahu Revivo,≤100
319883612234507,ליאור שמחה - Lior Zimche,ליאור שמחה - Lior Zimche,≤100
1457440094475905,Stav Shaffir סתיו שפיר,Stav Shaffir סתיו שפיר,≤100
194707690710930,التحالف من اجل الطيره مامون طارق عبد الحي,التحالف من اجل الطيره مامون طارق عبد الحي,≤100
110770572052803,הבית של האזרחים הותיקים והתרבות - בראשות שוקי קרומר,הבית של האזרחים הותיקים והתרבות - בראשות שוקי קרומר,≤100
790149967713981,דרכנו,דרכנו,≤100
109514532161308,ראובן גמזון לראשות מועצת גדרות,ראובן גמזון,≤100
2186437771594100,אלה ויינר - לראשות העיר אריאל,אלה ויינר - לראשות העיר אריאל,≤100
154698021323966,יוזמות אברהם  مبادرات  ابراهيم,יוזמות אברהם مبادرات ابراهيم,≤100
