Page ID,Page name,Disclaimer,Amount spent (UYU)
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
933054216858962,PCU Departamental Maldonado,PCU Departamental Maldonado,≤100
102658895494661,Irene Gonçalvez Mautone,Irene Gonçalvez Mautone,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,≤100
674510629327594,Progreso Al Día,These ads ran without a disclaimer,≤100
105209054686585,marioguzman_arg,These ads ran without a disclaimer,≤100
1013323835449673,Inddhhuruguay,Lucía Ines Scrigna Batlle,≤100
106265072180881,UruguaySi,Uruguay Si,≤100
698974256785676,Bayer Cono Sur,These ads ran without a disclaimer,≤100
857096944310280,Ismael Blanco,Ismael Blanco Martino,≤100
1013323835449673,Inddhhuruguay,INDDHH Uruguay,≤100
