Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,135
668626516485308,Enred Frenteamplista - Enred Socialista,Partido Socialista del Uruguay,112
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
225968600759645,Andrés Lima,Andrés Lima,≤100
324027561107639,María De Lima,These ads ran without a disclaimer,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
2332750643467917,Yamandú Costa,Espacio 2040,≤100
131947030163002,Periódico Liberarce,These ads ran without a disclaimer,≤100
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100
