Page ID,Page name,Disclaimer,Amount spent (XCD)
203239449860143,Harold Lovell,United Progressive Party,173
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),144
108197841533582,St.Peter's Constituency-ABLP-,Rawdon Turner,143
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),105
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,103
486723854867439,MYUPP,United Progressive Party,≤100
108465098593385,Mario Thomas,Democratic National Alliance,≤100
105826391202074,Pearl Quinn-Williams,United Progressive Party,≤100
44846920403,Dean,Athill Dean Jonas,≤100
102663679241421,Kelvin 'Shugy' Simon,United Progressive Party,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
251067568809208,St. John's Rural North,Angelica Ayoka O'Donoghue,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
102389305793337,Anthony Stuart,These ads ran without a disclaimer,≤100
