Page ID,Page name,Disclaimer,Amount spent (AOA)
101014586118927,Apkshop,Graciete De Carvalho Faustino,2051
103535548573473,MS Comércio,MS Comércio,1538
101920738769555,Virgínia Soares Pereira,These ads ran without a disclaimer,566
112780514955989,O Telegrama,O Telegrama,513
1683682261907001,Coach Aylana Gazar,These ads ran without a disclaimer,102
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100
172630432773629,UCA News,These ads ran without a disclaimer,≤100
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100
479653188804784,HRH Prince Ebrahim,These ads ran without a disclaimer,≤100
103569128480791,FRESAN,These ads ran without a disclaimer,≤100
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100
