Page ID,Page name,Disclaimer,Amount spent (ISK)
737169626371453,Heimildin,Stundin,20604
573559522797177,Flokkur fólksins,Flokkur Fólksins,4016
156161194561570,Kjarninn,Kjarninn,3711
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,3655
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,3578
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,2785
105986171646268,Diljá Mist,Diljá Einarsdóttir,2306
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,1813
128854307193614,Landsvirkjun,Landsvirkjun,1342
165630723862615,Andríki,Andríki,1233
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,1220
154893001218870,ADHD samtökin,ADHD samtökin,926
467440843363263,Samtök leigjenda á Íslandi,Samtök leigjenda á Íslandi,867
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,747
626846780726124,Viðreisn,Viðreisn,603
509866436098947,Sabine Leskopf,Sabine Leskopf,573
106979180938014,Samstöðin,Samstöðin ehf,494
1259808350720927,Þorgerður Katrín Gunnarsdóttir,Viðreisn,332
106306169046981,Madeline,These ads ran without a disclaimer,≤100
852370551453606,GARP,These ads ran without a disclaimer,≤100
1860782777346343,Astons Russia,These ads ran without a disclaimer,≤100
108805425121705,Twinkle Y,These ads ran without a disclaimer,≤100
1184644891706328,Unsustainable,These ads ran without a disclaimer,≤100
322255474988452,Skytale Digital - Restaurant Marketing,These ads ran without a disclaimer,≤100
121722894199689,,These ads ran without a disclaimer,≤100
