Page ID,Page name,Disclaimer,Amount spent (ILS)
109049212192912,יעקב בורובסקי-לראשות העיר חיפה,יעקב בורובסקי-לראשות העיר חיפה,4744
115456451553737,יונה יהב,יונה יהב,702
107217383988190,מגזין אפוק,Epoch Magazine,552
1534418936869034,אתר החדשות דבר,אתר החדשות דבר,511
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,482
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,441
119889504408611,שלומי קדוש חבר מועצת העיר קרית ים,שלומי קדוש חבר מועצת העיר קרית ים,269
1435922513325831,איציק לב לראשות העיר חריש,איציק לב לראשות העיר חריש,238
315149999091604,אביש שלמה לראשות מועצה אזורית מנשה,אביש שלמה לראשות מועצה אזורית מנשה,233
308048836418327,הילה שלם והתושבים - רצים לראשות העיר,הילה שלם והתושבים - רצים לראשות העיר,228
216394682076449,צילה רשף מועצת זכרון יעקב,צילה רשף מועצת זכרון יעקב,219
1633801720194315,מועצה מקומית פרדס חנה כרכור,מועצה מקומית פרדס חנה כרכור,210
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,192
276364932900823,יוני חכימי לראשות פרדס חנה כרכור,יוני חכימי לראשות פרדס חנה כרכור,187
104221385973111,אלי אנקונינה-  ראש  העיר אור עקיבא,אלי אנקונינה-  ראש  העיר אור עקיבא,187
670447859788515,יניב דרי - מחוברים לתושב,Yaniv Derry,162
287663625305114,ניר בן חיים - Nir Ben Haim,ניר בן חיים - Nir Ben Haim,149
1073548259341247,לובי 99,לובי 99,144
1662907067255622,איגוד הגז הטבעי,Unik,143
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,141
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,119
106325622347502,אלחנן שורץ לראשות מועצה אזורית חוף הכרמל,אלחנן שורץ לראשות מועצה אזורית חוף הכרמל,118
