Page ID,Page name,Disclaimer,Amount spent (AED)
339630283160450,Al Tayer Motors Land Rover UAE,Al Tayer Motors Land Rover UAE,≤100
1175283209338350,Zayed The Inspirer,Zayed The Inspirer,≤100
193631434303282,Al Tayer Motors,Al Tayer Motors,≤100
102384309389161,Celia Target,These ads ran without a disclaimer,≤100
100471412651941,will.travel4art,These ads ran without a disclaimer,≤100
874626875910047,Initiative Management Consultancy - IMC,These ads ran without a disclaimer,≤100
103719655935132,Samir Hs,These ads ran without a disclaimer,≤100
108835558335592,HimalPress,These ads ran without a disclaimer,≤100
198027330823239,FairKitchens,These ads ran without a disclaimer,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
