Page ID,Page name,Disclaimer,Amount spent (MYR)
107060175401210,Manar Community Utama,Manar Holding Sdn Bhd,≤100
100636399607458,Malaysia MADANI,Malaysia MADANI,≤100
425293244166119,Sehinggit,Sehinggit,≤100
214066990599,Berita Harian Online,Berita Harian Online,≤100
202159623191198,Kosmo Online,Kosmo Online,≤100
108562495293165,Energy Asia,Energy Asia,≤100
195105060510135,Kementerian Dalam Negeri (KDN),Kementerian Dalam Negeri (KDN),≤100
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,≤100
105300152138818,Khairin-Nisa Ismail,Khairin-Nisa Ismail,≤100
176159849754763,MCA,MCA,≤100
357620284673229,热点 Hotspot,热点 Hotspot,≤100
202159623191198,Kosmo Online,These ads ran without a disclaimer,≤100
214453639029748,Sinaran Wanita,Sinaran Wanita,≤100
221159141657466,Newswav,Newswav - Malaysia Latest News,≤100
331730317215791,Pusat Khidmat Masyarakat DUN Murum,Kennedy Chukpai Ugon,≤100
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,≤100
87363369882,Sinar Harian,Sinar Harian,≤100
689875217764106,Maahad Tahfiz AlQuran AlMuhammadi,Maahad Tahfiz AlQuran AlMuhammadi,≤100
112804560089619,GCapital,GCapital,≤100
715857358512639,The Bikers Ranger,The Bikers Ranger,≤100
736399970046124,Saarani Mohamad,Saarani Mohamad,≤100
114342888226868,pak haji amin,These ads ran without a disclaimer,≤100
100526776124356,Neypro1 - Rawatan Buah Pinggang Yang Murah,These ads ran without a disclaimer,≤100
