Page ID,Page name,Disclaimer,Amount spent (UYU)
2229936167288652,Juan Sartori,Equipo Juan Sartori,293
721629447857727,567 El Espacio,Sol Ines Pereyra Zunin,110
860395507438977,Compromiso con el Cambio,Santiago Raffo Arias,≤100
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,≤100
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,≤100
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
308762172579887,Rodrigo Goñi Reyes,Maria Florencia Porro,≤100
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100
1424003061235730,Asociación Autismo en Uruguay,Arlene Raquel Navarro Aguiar,≤100
984834781647717,Diputada Alexandra Inzaurralde,Alexandra Inzaurralde,≤100
